healthtime,businessunit,numipaddr,activityflag
2012-02-02 12:30:00,region-1,36861,1
2012-02-02 12:45:00,region-1,36861,1
2012-02-02 13:00:00,region-1,36856,1
2012-02-02 13:15:00,region-1,36861,1
2012-02-02 13:30:00,region-1,36872,1
2012-02-02 13:45:00,region-1,36867,1
2012-02-02 14:00:00,region-1,36873,1
2012-02-02 14:15:00,region-1,36862,1
2012-02-02 14:30:00,region-1,36874,1
2012-02-02 14:45:00,region-1,36866,1
2012-02-02 15:00:00,region-1,38185,1
2012-02-02 15:15:00,region-1,38198,1
2012-02-02 15:30:00,region-1,38203,1
2012-02-02 15:45:00,region-1,38190,1
2012-02-02 16:00:00,region-1,39693,1
2012-02-02 16:15:00,region-1,39810,1
2012-02-02 16:30:00,region-1,39815,1
2012-02-02 16:45:00,region-1,39836,1
2012-02-02 17:00:00,region-1,39814,1
2012-02-02 17:15:00,region-1,39821,1
2012-02-02 17:30:00,region-1,39772,1
2012-02-02 17:45:00,region-1,39787,1
2012-02-02 18:00:00,region-1,39755,1
2012-02-02 18:15:00,region-1,39756,1
2012-02-02 18:30:00,region-1,39765,1
2012-02-02 18:45:00,region-1,39836,1
2012-02-02 19:00:00,region-1,39801,1
2012-02-02 19:15:00,region-1,39891,1
2012-02-02 19:30:00,region-1,39760,1
2012-02-02 19:45:00,region-1,39774,1
2012-02-02 20:00:00,region-1,39824,1
2012-02-02 20:15:00,region-1,39760,1
2012-02-02 20:30:00,region-1,39776,1
2012-02-02 20:45:00,region-1,39758,1
2012-02-02 21:00:00,region-1,39825,1
2012-02-02 21:15:00,region-1,39774,1
2012-02-02 21:30:00,region-1,39779,1
2012-02-02 21:45:00,region-1,39865,1
2012-02-02 22:00:00,region-1,39820,1
2012-02-02 22:15:00,region-1,39764,1
2012-02-02 22:30:00,region-1,39740,1
2012-02-02 22:45:00,region-1,39803,1
2012-02-02 23:00:00,region-1,39763,1
2012-02-02 23:15:00,region-1,39776,1
2012-02-02 23:30:00,region-1,39785,1
2012-02-02 23:45:00,region-1,39725,1
2012-02-03 00:00:00,region-1,39800,1
2012-02-03 00:15:00,region-1,39851,1
2012-02-03 00:30:00,region-1,39843,1
2012-02-03 00:45:00,region-1,39703,1
2012-02-03 01:00:00,region-1,39791,1
2012-02-03 01:15:00,region-1,39835,1
2012-02-03 01:30:00,region-1,39754,1
2012-02-03 01:45:00,region-1,39801,1
2012-02-03 02:00:00,region-1,38527,1
2012-02-03 02:15:00,region-1,38426,1
2012-02-03 02:30:00,region-1,38438,1
2012-02-03 02:45:00,region-1,38405,1
2012-02-03 03:00:00,region-1,36875,1
2012-02-03 03:15:00,region-1,36876,1
2012-02-03 03:30:00,region-1,36877,1
2012-02-03 03:45:00,region-1,36884,1
2012-02-03 04:00:00,region-1,36887,1
2012-02-03 04:15:00,region-1,36872,1
2012-02-03 04:30:00,region-1,36877,1
2012-02-03 04:45:00,region-1,36873,1
2012-02-03 05:00:00,region-1,36870,1
2012-02-03 05:15:00,region-1,36873,1
2012-02-03 05:30:00,region-1,36874,1
2012-02-03 05:45:00,region-1,36883,1
2012-02-03 06:00:00,region-1,36884,1
2012-02-03 06:15:00,region-1,36865,1
2012-02-03 06:30:00,region-1,36879,1
2012-02-03 06:45:00,region-1,36873,1
2012-02-03 07:00:00,region-1,36876,1
2012-02-03 07:15:00,region-1,36880,1
2012-02-03 07:30:00,region-1,36897,1
2012-02-03 07:45:00,region-1,36894,1
2012-02-03 08:00:00,region-1,36872,1
2012-02-03 08:15:00,region-1,36873,1
2012-02-03 08:30:00,region-1,36886,1
2012-02-03 08:45:00,region-1,36889,1
2012-02-03 09:00:00,region-1,36879,1
2012-02-03 09:15:00,region-1,36893,1
2012-02-03 09:30:00,region-1,36895,1
2012-02-03 09:45:00,region-1,36891,1
2012-02-03 10:00:00,region-1,36885,1
2012-02-03 10:15:00,region-1,36889,1
2012-02-03 10:30:00,region-1,36886,1
2012-02-03 10:45:00,region-1,36877,1
2012-02-03 11:00:00,region-1,36874,1
2012-02-03 11:15:00,region-1,36889,1
2012-02-03 11:30:00,region-1,36899,1
2012-02-03 11:45:00,region-1,36891,1
2012-02-03 12:00:00,region-1,36895,1
2012-02-03 12:15:00,region-1,36894,1
2012-02-03 12:30:00,region-1,36893,1
2012-02-03 12:45:00,region-1,36895,1
2012-02-03 13:00:00,region-1,36883,1
2012-02-03 13:15:00,region-1,36877,1
2012-02-03 13:30:00,region-1,36894,1
2012-02-03 13:45:00,region-1,36900,1
2012-02-03 14:00:00,region-1,36892,1
2012-02-03 14:15:00,region-1,36879,1
2012-02-03 14:30:00,region-1,36864,1
2012-02-03 14:45:00,region-1,36859,1
2012-02-03 15:00:00,region-1,38213,1
2012-02-03 15:15:00,region-1,38234,1
2012-02-03 15:30:00,region-1,38251,1
2012-02-03 15:45:00,region-1,38219,1
2012-02-03 16:00:00,region-1,39839,1
2012-02-03 16:15:00,region-1,39726,1
2012-02-03 16:30:00,region-1,39784,1
2012-02-03 16:45:00,region-1,39744,1
2012-02-03 17:00:00,region-1,39789,1
2012-02-03 17:15:00,region-1,39817,1
2012-02-03 17:30:00,region-1,39805,1
2012-02-03 17:45:00,region-1,39806,1
2012-02-03 18:00:00,region-1,39674,1
2012-02-03 18:15:00,region-1,39795,1
2012-02-03 18:30:00,region-1,39795,1
2012-02-03 18:45:00,region-1,39865,1
2012-02-03 19:00:00,region-1,39745,1
2012-02-03 19:15:00,region-1,39796,1
2012-02-03 19:30:00,region-1,39811,1
2012-02-03 19:45:00,region-1,39740,1
2012-02-03 20:00:00,region-1,39812,1
2012-02-03 20:15:00,region-1,39787,1
2012-02-03 20:30:00,region-1,39758,1
2012-02-03 20:45:00,region-1,39784,1
2012-02-03 21:00:00,region-1,39736,1
2012-02-03 21:15:00,region-1,39755,1
2012-02-03 21:30:00,region-1,39792,1
2012-02-03 21:45:00,region-1,39761,1
2012-02-03 22:00:00,region-1,39723,1
2012-02-03 22:15:00,region-1,39765,1
2012-02-03 22:30:00,region-1,39764,1
2012-02-03 22:45:00,region-1,39742,1
2012-02-03 23:00:00,region-1,39765,1
2012-02-03 23:15:00,region-1,39708,1
2012-02-03 23:30:00,region-1,39872,1
2012-02-03 23:45:00,region-1,39767,1
2012-02-04 00:00:00,region-1,39824,1
2012-02-04 00:15:00,region-1,39807,1
2012-02-04 00:30:00,region-1,39740,1
2012-02-04 00:45:00,region-1,39794,1
2012-02-04 01:00:00,region-1,39842,1
2012-02-04 01:15:00,region-1,39738,1
2012-02-04 01:30:00,region-1,39855,1
2012-02-04 01:45:00,region-1,39726,1
2012-02-04 02:00:00,region-1,38449,1
2012-02-04 02:15:00,region-1,38445,1
2012-02-04 02:30:00,region-1,38464,1
2012-02-04 02:45:00,region-1,38483,1
2012-02-04 03:00:00,region-1,36886,1
2012-02-04 03:15:00,region-1,36885,1
2012-02-04 03:30:00,region-1,36885,1
2012-02-04 03:45:00,region-1,36879,1
2012-02-04 04:00:00,region-1,36875,1
2012-02-04 04:15:00,region-1,36861,1
2012-02-04 04:30:00,region-1,36848,1
2012-02-04 04:45:00,region-1,36855,1
2012-02-04 05:00:00,region-1,36876,1
2012-02-04 05:15:00,region-1,36873,1
2012-02-04 05:30:00,region-1,36883,1
2012-02-04 05:45:00,region-1,36874,1
2012-02-04 06:00:00,region-1,36872,1
2012-02-04 06:15:00,region-1,36875,1
2012-02-04 06:30:00,region-1,36883,1
2012-02-04 06:45:00,region-1,36870,1
2012-02-04 07:00:00,region-1,36865,1
2012-02-04 07:15:00,region-1,36878,1
2012-02-04 07:30:00,region-1,36887,1
2012-02-04 07:45:00,region-1,36880,1
2012-02-04 08:00:00,region-1,36884,1
2012-02-02 08:15:00,region-2,36958,1
2012-02-02 08:30:00,region-2,36922,1
2012-02-02 08:45:00,region-2,36900,1
2012-02-02 09:00:00,region-2,36880,1
2012-02-02 09:15:00,region-2,36862,1
2012-02-02 09:30:00,region-2,36861,1
2012-02-02 09:45:00,region-2,36861,1
2012-02-02 10:00:00,region-2,36870,1
2012-02-02 10:15:00,region-2,36888,1
2012-02-02 10:30:00,region-2,36869,1
2012-02-02 10:45:00,region-2,36878,1
2012-02-02 11:00:00,region-2,36875,1
2012-02-02 11:15:00,region-2,36867,1
2012-02-02 11:30:00,region-2,36877,1
2012-02-02 11:45:00,region-2,36872,1
2012-02-02 12:00:00,region-2,36865,1
2012-02-02 12:15:00,region-2,36866,1
2012-02-02 12:30:00,region-2,36859,1
2012-02-02 12:45:00,region-2,36854,1
2012-02-02 13:00:00,region-2,36870,1
2012-02-02 13:15:00,region-2,36869,1
2012-02-02 13:30:00,region-2,36875,1
2012-02-02 13:45:00,region-2,36866,1
2012-02-02 14:00:00,region-2,36867,1
2012-02-02 14:15:00,region-2,36864,1
2012-02-02 14:30:00,region-2,36877,1
2012-02-02 14:45:00,region-2,36860,1
2012-02-02 15:00:00,region-2,36853,1
2012-02-02 15:15:00,region-2,36861,1
2012-02-02 15:30:00,region-2,36868,1
2012-02-02 15:45:00,region-2,36879,1
2012-02-02 16:00:00,region-2,38377,1
2012-02-02 16:15:00,region-2,38458,1
2012-02-02 16:30:00,region-2,38480,1
2012-02-02 16:45:00,region-2,38460,1
2012-02-02 17:00:00,region-2,39762,1
2012-02-02 17:15:00,region-2,39693,1
2012-02-02 17:30:00,region-2,39710,1
2012-02-02 17:45:00,region-2,39744,1
2012-02-02 18:00:00,region-2,39701,1
2012-02-02 18:15:00,region-2,39761,1
2012-02-02 18:30:00,region-2,39769,1
2012-02-02 18:45:00,region-2,39738,1
2012-02-02 19:00:00,region-2,39726,1
2012-02-02 19:15:00,region-2,39691,1
2012-02-02 19:30:00,region-2,39701,1
2012-02-02 19:45:00,region-2,39725,1
2012-02-02 20:00:00,region-2,39756,1
2012-02-02 20:15:00,region-2,39720,1
2012-02-02 20:30:00,region-2,39748,1
2012-02-02 20:45:00,region-2,39694,1
2012-02-02 21:00:00,region-2,39778,1
2012-02-02 21:15:00,region-2,39732,1
2012-02-02 21:30:00,region-2,39678,1
2012-02-02 21:45:00,region-2,39750,1
2012-02-02 22:00:00,region-2,39776,1
2012-02-02 22:15:00,region-2,39692,1
2012-02-02 22:30:00,region-2,39724,1
2012-02-02 22:45:00,region-2,39725,1
2012-02-02 23:00:00,region-2,39732,1
2012-02-02 23:15:00,region-2,39679,1
2012-02-02 23:30:00,region-2,39751,1
2012-02-02 23:45:00,region-2,39726,1
2012-02-03 00:00:00,region-2,39700,1
2012-02-03 00:15:00,region-2,39754,1
2012-02-03 00:30:00,region-2,39713,1
2012-02-03 00:45:00,region-2,39659,1
2012-02-03 01:00:00,region-2,39766,1
2012-02-03 01:15:00,region-2,39835,1
2012-02-03 01:30:00,region-2,39755,1
2012-02-03 01:45:00,region-2,39776,1
2012-02-03 02:00:00,region-2,39796,1
2012-02-03 02:15:00,region-2,39715,1
2012-02-03 02:30:00,region-2,39718,1
2012-02-03 02:45:00,region-2,39737,1
2012-02-03 03:00:00,region-2,38166,1
2012-02-03 03:15:00,region-2,38164,1
2012-02-03 03:30:00,region-2,38181,1
2012-02-03 03:45:00,region-2,38178,1
2012-02-03 04:00:00,region-2,36877,1
2012-02-03 04:15:00,region-2,36864,1
2012-02-03 04:30:00,region-2,36857,1
2012-02-03 04:45:00,region-2,36861,1
2012-02-03 05:00:00,region-2,36871,1
2012-02-03 05:15:00,region-2,36881,1
2012-02-03 05:30:00,region-2,36873,1
2012-02-03 05:45:00,region-2,36870,1
2012-02-03 06:00:00,region-2,36872,1
2012-02-03 06:15:00,region-2,36850,1
2012-02-03 06:30:00,region-2,36864,1
2012-02-03 06:45:00,region-2,36868,1
2012-02-03 07:00:00,region-2,36879,1
2012-02-03 07:15:00,region-2,36875,1
2012-02-03 07:30:00,region-2,36888,1
2012-02-03 07:45:00,region-2,36878,1
2012-02-03 08:00:00,region-2,36865,1
2012-02-03 08:15:00,region-2,36853,1
2012-02-03 08:30:00,region-2,36863,1
2012-02-03 08:45:00,region-2,36869,1
2012-02-03 09:00:00,region-2,36866,1
2012-02-03 09:15:00,region-2,36878,1
2012-02-03 09:30:00,region-2,36900,1
2012-02-03 09:45:00,region-2,36886,1
2012-02-03 10:00:00,region-2,36874,1
2012-02-03 10:15:00,region-2,36871,1
2012-02-03 10:30:00,region-2,36882,1
2012-02-03 10:45:00,region-2,36876,1
2012-02-03 11:00:00,region-2,36871,1
2012-02-03 11:15:00,region-2,36866,1
2012-02-03 11:30:00,region-2,36865,1
2012-02-03 11:45:00,region-2,36866,1
2012-02-03 12:00:00,region-2,36883,1
2012-02-03 12:15:00,region-2,36894,1
2012-02-03 12:30:00,region-2,36892,1
2012-02-03 12:45:00,region-2,36885,1
2012-02-03 13:00:00,region-2,36882,1
2012-02-03 13:15:00,region-2,36882,1
2012-02-03 13:30:00,region-2,36899,1
2012-02-03 13:45:00,region-2,36900,1
2012-02-03 14:00:00,region-2,36891,1
2012-02-03 14:15:00,region-2,36891,1
2012-02-03 14:30:00,region-2,36870,1
2012-02-03 14:45:00,region-2,36871,1
2012-02-03 15:00:00,region-2,36874,1
2012-02-03 15:15:00,region-2,36875,1
2012-02-03 15:30:00,region-2,36867,1
2012-02-03 15:45:00,region-2,36866,1
2012-02-03 16:00:00,region-2,38473,1
2012-02-03 16:15:00,region-2,38399,1
2012-02-03 16:30:00,region-2,38415,1
2012-02-03 16:45:00,region-2,38421,1
2012-02-03 17:00:00,region-2,39702,1
2012-02-03 17:15:00,region-2,39791,1
2012-02-03 17:30:00,region-2,39711,1
2012-02-03 17:45:00,region-2,39710,1
2012-02-03 18:00:00,region-2,39622,1
2012-02-03 18:15:00,region-2,39674,1
2012-02-03 18:30:00,region-2,39708,1
2012-02-03 18:45:00,region-2,39772,1
2012-02-03 19:00:00,region-2,39676,1
2012-02-03 19:15:00,region-2,39709,1
2012-02-03 19:30:00,region-2,39713,1
2012-02-03 19:45:00,region-2,39664,1
2012-02-03 20:00:00,region-2,39730,1
2012-02-03 20:15:00,region-2,39733,1
2012-02-03 20:30:00,region-2,39666,1
2012-02-03 20:45:00,region-2,39716,1
2012-02-03 21:00:00,region-2,39641,1
2012-02-03 21:15:00,region-2,39688,1
2012-02-03 21:30:00,region-2,39755,1
2012-02-03 21:45:00,region-2,39737,1
2012-02-03 22:00:00,region-2,39648,1
2012-02-03 22:15:00,region-2,39675,1
2012-02-03 22:30:00,region-2,39709,1
2012-02-03 22:45:00,region-2,39640,1
2012-02-03 23:00:00,region-2,39699,1
2012-02-03 23:15:00,region-2,39697,1
2012-02-03 23:30:00,region-2,39726,1
2012-02-03 23:45:00,region-2,39705,1
2012-02-04 00:00:00,region-2,39826,1
2012-02-04 00:15:00,region-2,39785,1
2012-02-04 00:30:00,region-2,39734,1
2012-02-04 00:45:00,region-2,39709,1
2012-02-04 01:00:00,region-2,39715,1
2012-02-04 01:15:00,region-2,39730,1
2012-02-04 01:30:00,region-2,39734,1
2012-02-04 01:45:00,region-2,39698,1
2012-02-04 02:00:00,region-2,39801,1
2012-02-04 02:15:00,region-2,39723,1
2012-02-04 02:30:00,region-2,39749,1
2012-02-04 02:45:00,region-2,39730,1
2012-02-04 03:00:00,region-2,38172,1
2012-02-04 03:15:00,region-2,38159,1
2012-02-04 03:30:00,region-2,38166,1
2012-02-04 03:45:00,region-2,38154,1
2012-02-04 04:00:00,region-2,36893,1
2012-02-04 04:15:00,region-2,36872,1
2012-02-04 04:30:00,region-2,36856,1
2012-02-04 04:45:00,region-2,36856,1
2012-02-04 05:00:00,region-2,36862,1
2012-02-04 05:15:00,region-2,36876,1
2012-02-04 05:30:00,region-2,36892,1
2012-02-04 05:45:00,region-2,36888,1
2012-02-04 06:00:00,region-2,36884,1
2012-02-04 06:15:00,region-2,36885,1
2012-02-04 06:30:00,region-2,36887,1
2012-02-04 06:45:00,region-2,36883,1
2012-02-04 07:00:00,region-2,36889,1
2012-02-04 07:15:00,region-2,36885,1
2012-02-04 07:30:00,region-2,36890,1
2012-02-04 07:45:00,region-2,36887,1
2012-02-04 08:00:00,region-2,36885,1
2012-02-02 08:15:00,region-3,35998,1
2012-02-02 08:30:00,region-3,35975,1
2012-02-02 08:45:00,region-3,35965,1
2012-02-02 09:00:00,region-3,35952,1
2012-02-02 09:15:00,region-3,35929,1
2012-02-02 09:30:00,region-3,35925,1
2012-02-02 09:45:00,region-3,35909,1
2012-02-02 10:00:00,region-3,35903,1
2012-02-02 10:15:00,region-3,35928,1
2012-02-02 10:30:00,region-3,35923,1
2012-02-02 10:45:00,region-3,35918,1
2012-02-02 11:00:00,region-3,35917,1
2012-02-02 11:15:00,region-3,35925,1
2012-02-02 11:30:00,region-3,35933,1
2012-02-02 11:45:00,region-3,35942,1
2012-02-02 12:00:00,region-3,35936,1
2012-02-02 12:15:00,region-3,35923,1
2012-02-02 12:30:00,region-3,35929,1
2012-02-02 12:45:00,region-3,35932,1
2012-02-02 13:00:00,region-3,36690,1
2012-02-02 13:15:00,region-3,36700,1
2012-02-02 13:30:00,region-3,36707,1
2012-02-02 13:45:00,region-3,36703,1
2012-02-02 14:00:00,region-3,38911,1
2012-02-02 14:15:00,region-3,38872,1
2012-02-02 14:30:00,region-3,38884,1
2012-02-02 14:45:00,region-3,38812,1
2012-02-02 15:00:00,region-3,38867,1
2012-02-02 15:15:00,region-3,38875,1
2012-02-02 15:30:00,region-3,38836,1
2012-02-02 15:45:00,region-3,38787,1
2012-02-02 16:00:00,region-3,38913,1
2012-02-02 16:15:00,region-3,38894,1
2012-02-02 16:30:00,region-3,38820,1
2012-02-02 16:45:00,region-3,38836,1
2012-02-02 17:00:00,region-3,38840,1
2012-02-02 17:15:00,region-3,38818,1
2012-02-02 17:30:00,region-3,38815,1
2012-02-02 17:45:00,region-3,38800,1
2012-02-02 18:00:00,region-3,38801,1
2012-02-02 18:15:00,region-3,38806,1
2012-02-02 18:30:00,region-3,38820,1
2012-02-02 18:45:00,region-3,38863,1
2012-02-02 19:00:00,region-3,38837,1
2012-02-02 19:15:00,region-3,38881,1
2012-02-02 19:30:00,region-3,38845,1
2012-02-02 19:45:00,region-3,38884,1
2012-02-02 20:00:00,region-3,38885,1
2012-02-02 20:15:00,region-3,38888,1
