healthtime,businessunit,machineclass,ipaddrcount
2012-02-03 19:30:00,headquarters,workstation,36
2012-02-03 19:45:00,headquarters,server,648
2012-02-03 19:45:00,headquarters,workstation,36
2012-02-03 20:00:00,headquarters,server,663
2012-02-03 20:00:00,headquarters,workstation,37
2012-02-03 20:15:00,headquarters,server,677
2012-02-03 20:15:00,headquarters,workstation,38
2012-02-03 20:30:00,headquarters,server,699
2012-02-03 20:30:00,headquarters,workstation,38
2012-02-03 20:45:00,headquarters,server,718
2012-02-03 20:45:00,headquarters,workstation,40
2012-02-03 21:00:00,headquarters,server,731
2012-02-03 21:00:00,headquarters,workstation,43
2012-02-03 21:15:00,headquarters,server,750
2012-02-03 21:15:00,headquarters,workstation,45
2012-02-03 21:30:00,headquarters,server,764
2012-02-03 21:30:00,headquarters,workstation,45
2012-02-03 21:45:00,headquarters,server,779
2012-02-03 21:45:00,headquarters,workstation,46
2012-02-03 22:00:00,headquarters,server,802
2012-02-03 22:00:00,headquarters,workstation,27
2012-02-03 22:15:00,headquarters,server,815
2012-02-03 22:15:00,headquarters,workstation,26
2012-02-03 22:30:00,headquarters,server,837
2012-02-03 22:30:00,headquarters,workstation,25
2012-02-03 22:45:00,headquarters,server,859
2012-02-03 22:45:00,headquarters,workstation,25
2012-02-03 23:00:00,headquarters,server,881
2012-02-03 23:00:00,headquarters,workstation,25
2012-02-03 23:15:00,headquarters,server,897
2012-02-03 23:15:00,headquarters,workstation,27
2012-02-03 23:30:00,headquarters,server,922
2012-02-03 23:30:00,headquarters,workstation,30
2012-02-03 23:45:00,headquarters,server,941
2012-02-03 23:45:00,headquarters,workstation,30
2012-02-04 00:00:00,headquarters,server,970
2012-02-04 00:00:00,headquarters,workstation,30
2012-02-04 00:15:00,headquarters,server,988
2012-02-04 00:15:00,headquarters,workstation,30
2012-02-04 00:30:00,headquarters,server,1006
2012-02-04 00:30:00,headquarters,workstation,31
2012-02-04 00:45:00,headquarters,server,1026
2012-02-04 00:45:00,headquarters,workstation,31
2012-02-04 01:00:00,headquarters,server,1054
2012-02-04 01:00:00,headquarters,workstation,33
2012-02-04 01:15:00,headquarters,server,1071
2012-02-04 01:15:00,headquarters,workstation,33
2012-02-04 01:30:00,headquarters,server,1089
2012-02-04 01:30:00,headquarters,workstation,34
2012-02-04 01:45:00,headquarters,server,1118
2012-02-04 01:45:00,headquarters,workstation,33
2012-02-04 02:00:00,headquarters,server,1138
2012-02-04 02:00:00,headquarters,workstation,32
2012-02-04 02:15:00,headquarters,server,1170
2012-02-04 02:15:00,headquarters,workstation,32
2012-02-04 02:30:00,headquarters,server,1204
2012-02-04 02:30:00,headquarters,workstation,34
2012-02-04 02:45:00,headquarters,server,1232
2012-02-04 02:45:00,headquarters,workstation,36
2012-02-04 03:00:00,headquarters,server,1262
2012-02-04 03:00:00,headquarters,workstation,36
2012-02-04 03:15:00,headquarters,server,1295
2012-02-04 03:15:00,headquarters,workstation,36
2012-02-04 03:30:00,headquarters,server,1318
2012-02-04 03:30:00,headquarters,workstation,37
2012-02-04 03:45:00,headquarters,server,1340
2012-02-04 03:45:00,headquarters,workstation,37
2012-02-04 04:00:00,headquarters,server,1369
2012-02-04 04:00:00,headquarters,workstation,37
2012-02-04 04:15:00,headquarters,server,1397
2012-02-04 04:15:00,headquarters,workstation,38
2012-02-04 04:30:00,headquarters,server,1421
2012-02-04 04:30:00,headquarters,workstation,41
2012-02-04 04:45:00,headquarters,server,1455
2012-02-04 04:45:00,headquarters,workstation,43
2012-02-04 05:00:00,headquarters,server,1482
2012-02-04 05:00:00,headquarters,workstation,44
2012-02-04 05:15:00,headquarters,server,1514
2012-02-04 05:15:00,headquarters,workstation,45
2012-02-04 05:30:00,headquarters,server,1545
2012-02-04 05:30:00,headquarters,workstation,47
2012-02-04 05:45:00,headquarters,server,1567
2012-02-04 05:45:00,headquarters,workstation,47
2012-02-04 06:00:00,headquarters,server,1591
2012-02-04 06:00:00,headquarters,workstation,48
2012-02-04 06:15:00,headquarters,server,1616
2012-02-04 06:15:00,headquarters,workstation,50
2012-02-04 06:30:00,headquarters,server,1655
2012-02-04 06:30:00,headquarters,workstation,50
2012-02-04 06:45:00,headquarters,server,1677
2012-02-04 06:45:00,headquarters,workstation,50
2012-02-04 07:00:00,headquarters,server,1715
2012-02-04 07:00:00,headquarters,workstation,52
2012-02-04 07:15:00,headquarters,server,1740
2012-02-04 07:15:00,headquarters,workstation,54
2012-02-04 07:30:00,headquarters,server,1768
2012-02-04 07:30:00,headquarters,workstation,54
2012-02-04 07:45:00,headquarters,server,1803
2012-02-04 07:45:00,headquarters,workstation,54
2012-02-04 08:00:00,headquarters,server,1835
2012-02-04 08:00:00,headquarters,workstation,54
2012-02-02 18:00:00,region-1,server,1
2012-02-02 18:15:00,region-1,server,1
2012-02-02 18:30:00,region-1,server,1
2012-02-02 18:45:00,region-1,server,1
2012-02-02 19:00:00,region-1,server,1
2012-02-02 19:15:00,region-1,server,1
2012-02-02 19:30:00,region-1,server,1
2012-02-02 19:30:00,region-1,workstation,1
2012-02-02 19:45:00,region-1,server,1
2012-02-02 19:45:00,region-1,workstation,1
2012-02-02 20:00:00,region-1,server,1
2012-02-02 20:00:00,region-1,workstation,1
2012-02-02 20:15:00,region-1,server,1
2012-02-02 20:15:00,region-1,workstation,1
2012-02-02 20:30:00,region-1,server,1
2012-02-02 20:30:00,region-1,workstation,1
2012-02-02 20:45:00,region-1,server,2
2012-02-02 20:45:00,region-1,workstation,1
2012-02-02 21:00:00,region-1,server,2
2012-02-02 21:00:00,region-1,workstation,1
2012-02-02 21:15:00,region-1,server,2
2012-02-02 21:15:00,region-1,workstation,1
2012-02-02 21:30:00,region-1,server,2
2012-02-02 21:30:00,region-1,workstation,1
2012-02-02 21:45:00,region-1,server,2
2012-02-02 21:45:00,region-1,workstation,1
2012-02-02 22:00:00,region-1,server,2
2012-02-02 22:00:00,region-1,workstation,1
2012-02-02 22:15:00,region-1,server,2
2012-02-02 22:15:00,region-1,workstation,1
2012-02-02 22:30:00,region-1,server,2
2012-02-02 22:30:00,region-1,workstation,2
2012-02-02 22:45:00,region-1,server,2
2012-02-02 22:45:00,region-1,workstation,2
2012-02-02 23:00:00,region-1,server,3
2012-02-02 23:00:00,region-1,workstation,2
2012-02-02 23:15:00,region-1,server,3
2012-02-02 23:15:00,region-1,workstation,2
2012-02-02 23:30:00,region-1,server,3
2012-02-02 23:30:00,region-1,workstation,2
2012-02-02 23:45:00,region-1,server,3
2012-02-02 23:45:00,region-1,workstation,2
2012-02-03 00:00:00,region-1,server,5
2012-02-03 00:00:00,region-1,workstation,2
2012-02-03 00:15:00,region-1,server,6
2012-02-03 00:15:00,region-1,workstation,2
2012-02-03 00:30:00,region-1,server,6
2012-02-03 00:30:00,region-1,workstation,2
2012-02-03 00:45:00,region-1,server,8
2012-02-03 00:45:00,region-1,workstation,2
2012-02-03 01:00:00,region-1,server,8
2012-02-03 01:00:00,region-1,workstation,2
2012-02-03 01:15:00,region-1,server,8
2012-02-03 01:15:00,region-1,workstation,2
2012-02-03 01:30:00,region-1,server,9
2012-02-03 01:30:00,region-1,workstation,2
2012-02-03 01:45:00,region-1,server,9
2012-02-03 01:45:00,region-1,workstation,3
2012-02-03 02:00:00,region-1,server,9
2012-02-03 02:00:00,region-1,workstation,2
2012-02-03 02:15:00,region-1,server,10
2012-02-03 02:15:00,region-1,workstation,2
2012-02-03 02:30:00,region-1,server,10
2012-02-03 02:30:00,region-1,workstation,2
2012-02-03 02:45:00,region-1,server,10
2012-02-03 02:45:00,region-1,workstation,2
2012-02-03 03:00:00,region-1,server,10
2012-02-03 03:00:00,region-1,workstation,2
2012-02-03 03:15:00,region-1,server,11
2012-02-03 03:15:00,region-1,workstation,2
2012-02-03 03:30:00,region-1,server,11
2012-02-03 03:30:00,region-1,workstation,2
2012-02-03 03:45:00,region-1,server,11
2012-02-03 03:45:00,region-1,workstation,2
2012-02-03 04:00:00,region-1,server,11
2012-02-03 04:00:00,region-1,workstation,2
2012-02-03 04:15:00,region-1,server,11
2012-02-03 04:15:00,region-1,workstation,3
2012-02-03 04:30:00,region-1,server,11
2012-02-03 04:30:00,region-1,workstation,3
2012-02-03 04:45:00,region-1,server,11
2012-02-03 04:45:00,region-1,workstation,3
2012-02-03 05:00:00,region-1,server,11
2012-02-03 05:00:00,region-1,workstation,3
2012-02-03 05:15:00,region-1,server,12
2012-02-03 05:15:00,region-1,workstation,3
2012-02-03 05:30:00,region-1,server,13
2012-02-03 05:30:00,region-1,workstation,4
2012-02-03 05:45:00,region-1,server,13
2012-02-03 05:45:00,region-1,workstation,4
2012-02-03 06:00:00,region-1,server,13
2012-02-03 06:00:00,region-1,workstation,4
2012-02-03 06:15:00,region-1,server,14
2012-02-03 06:15:00,region-1,workstation,4
2012-02-03 06:30:00,region-1,server,15
2012-02-03 06:30:00,region-1,workstation,4
2012-02-03 06:45:00,region-1,server,18
2012-02-03 06:45:00,region-1,workstation,4
2012-02-03 07:00:00,region-1,server,18
2012-02-03 07:00:00,region-1,workstation,4
2012-02-03 07:15:00,region-1,server,18
2012-02-03 07:15:00,region-1,workstation,4
2012-02-03 07:30:00,region-1,server,18
2012-02-03 07:30:00,region-1,workstation,4
2012-02-03 07:45:00,region-1,server,19
2012-02-03 07:45:00,region-1,workstation,4
2012-02-03 08:00:00,region-1,atm,1
2012-02-03 08:00:00,region-1,server,20
2012-02-03 08:00:00,region-1,workstation,4
2012-02-03 08:15:00,region-1,atm,1
2012-02-03 08:15:00,region-1,server,20
2012-02-03 08:15:00,region-1,workstation,4
2012-02-03 08:30:00,region-1,atm,1
2012-02-03 08:30:00,region-1,server,21
2012-02-03 08:30:00,region-1,workstation,4
2012-02-03 08:45:00,region-1,atm,1
2012-02-03 08:45:00,region-1,server,22
2012-02-03 08:45:00,region-1,workstation,4
2012-02-03 09:00:00,region-1,atm,1
2012-02-03 09:00:00,region-1,server,23
2012-02-03 09:00:00,region-1,workstation,4
2012-02-03 09:15:00,region-1,atm,1
2012-02-03 09:15:00,region-1,server,23
2012-02-03 09:15:00,region-1,workstation,4
2012-02-03 09:30:00,region-1,atm,1
2012-02-03 09:30:00,region-1,server,24
2012-02-03 09:30:00,region-1,workstation,4
2012-02-03 09:45:00,region-1,atm,1
2012-02-03 09:45:00,region-1,server,24
2012-02-03 09:45:00,region-1,workstation,5
2012-02-03 10:00:00,region-1,atm,1
2012-02-03 10:00:00,region-1,server,26
2012-02-03 10:00:00,region-1,workstation,5
2012-02-03 10:15:00,region-1,atm,1
2012-02-03 10:15:00,region-1,server,29
2012-02-03 10:15:00,region-1,workstation,5
2012-02-03 10:30:00,region-1,atm,1
2012-02-03 10:30:00,region-1,server,30
2012-02-03 10:30:00,region-1,workstation,6
2012-02-03 10:45:00,region-1,atm,1
2012-02-03 10:45:00,region-1,server,32
2012-02-03 10:45:00,region-1,workstation,7
2012-02-03 11:00:00,region-1,atm,1
2012-02-03 11:00:00,region-1,server,33
2012-02-03 11:00:00,region-1,workstation,7
2012-02-03 11:15:00,region-1,atm,1
2012-02-03 11:15:00,region-1,server,36
2012-02-03 11:15:00,region-1,workstation,7
2012-02-03 11:30:00,region-1,atm,1
2012-02-03 11:30:00,region-1,server,37
2012-02-03 11:30:00,region-1,workstation,7
2012-02-03 11:45:00,region-1,atm,1
2012-02-03 11:45:00,region-1,server,39
2012-02-03 11:45:00,region-1,workstation,7
2012-02-03 12:00:00,region-1,atm,1
2012-02-03 12:00:00,region-1,server,41
2012-02-03 12:00:00,region-1,workstation,7
2012-02-03 12:15:00,region-1,atm,1
2012-02-03 12:15:00,region-1,server,44
2012-02-03 12:15:00,region-1,workstation,7
2012-02-03 12:30:00,region-1,atm,1
2012-02-03 12:30:00,region-1,server,45
2012-02-03 12:30:00,region-1,workstation,7
2012-02-03 12:45:00,region-1,atm,2
2012-02-03 12:45:00,region-1,server,48
2012-02-03 12:45:00,region-1,workstation,7
2012-02-03 13:00:00,region-1,atm,2
2012-02-03 13:00:00,region-1,server,51
2012-02-03 13:00:00,region-1,workstation,7
2012-02-03 13:15:00,region-1,atm,2
2012-02-03 13:15:00,region-1,server,52
2012-02-03 13:15:00,region-1,workstation,8
2012-02-03 13:30:00,region-1,atm,2
2012-02-03 13:30:00,region-1,server,53
2012-02-03 13:30:00,region-1,workstation,8
2012-02-03 13:45:00,region-1,atm,2
2012-02-03 13:45:00,region-1,server,54
2012-02-03 13:45:00,region-1,workstation,10
2012-02-03 14:00:00,region-1,atm,2
2012-02-03 14:00:00,region-1,server,56
2012-02-03 14:00:00,region-1,workstation,10
2012-02-03 14:15:00,region-1,atm,2
2012-02-03 14:15:00,region-1,server,57
2012-02-03 14:15:00,region-1,workstation,10
2012-02-03 14:30:00,region-1,atm,2
2012-02-03 14:30:00,region-1,server,59
2012-02-03 14:30:00,region-1,workstation,11
2012-02-03 14:45:00,region-1,atm,2
2012-02-03 14:45:00,region-1,server,60
2012-02-03 14:45:00,region-1,workstation,11
2012-02-03 15:00:00,region-1,atm,2
2012-02-03 15:00:00,region-1,server,66
2012-02-03 15:00:00,region-1,workstation,14
2012-02-03 15:15:00,region-1,atm,2
2012-02-03 15:15:00,region-1,server,69
2012-02-03 15:15:00,region-1,workstation,14
2012-02-03 15:30:00,region-1,atm,2
2012-02-03 15:30:00,region-1,server,71
2012-02-03 15:30:00,region-1,workstation,15
2012-02-03 15:45:00,region-1,atm,2
2012-02-03 15:45:00,region-1,server,72
2012-02-03 15:45:00,region-1,workstation,15
2012-02-03 16:00:00,region-1,atm,3
2012-02-03 16:00:00,region-1,server,73
2012-02-03 16:00:00,region-1,workstation,18
2012-02-03 16:15:00,region-1,atm,3
2012-02-03 16:15:00,region-1,server,75
2012-02-03 16:15:00,region-1,workstation,18
2012-02-03 16:30:00,region-1,atm,3
2012-02-03 16:30:00,region-1,server,76
2012-02-03 16:30:00,region-1,workstation,18
2012-02-03 16:45:00,region-1,atm,4
2012-02-03 16:45:00,region-1,server,79
2012-02-03 16:45:00,region-1,workstation,19
2012-02-03 17:00:00,region-1,atm,4
2012-02-03 17:00:00,region-1,server,82
2012-02-03 17:00:00,region-1,workstation,20
2012-02-03 17:15:00,region-1,atm,4
2012-02-03 17:15:00,region-1,server,83
2012-02-03 17:15:00,region-1,workstation,20
2012-02-03 17:30:00,region-1,atm,4
2012-02-03 17:30:00,region-1,server,86
2012-02-03 17:30:00,region-1,workstation,20
2012-02-03 17:45:00,region-1,atm,4
2012-02-03 17:45:00,region-1,server,87
2012-02-03 17:45:00,region-1,workstation,21
2012-02-03 18:00:00,region-1,atm,4
2012-02-03 18:00:00,region-1,server,87
2012-02-03 18:00:00,region-1,workstation,24
2012-02-03 18:15:00,region-1,atm,4
2012-02-03 18:15:00,region-1,server,89
2012-02-03 18:15:00,region-1,workstation,25
2012-02-03 18:30:00,region-1,atm,4
2012-02-03 18:30:00,region-1,server,90
2012-02-03 18:30:00,region-1,workstation,26
2012-02-03 18:45:00,region-1,atm,4
2012-02-03 18:45:00,region-1,server,92
2012-02-03 18:45:00,region-1,workstation,26
2012-02-03 19:00:00,region-1,atm,4
2012-02-03 19:00:00,region-1,server,94
2012-02-03 19:00:00,region-1,workstation,27
2012-02-03 19:15:00,region-1,atm,4
2012-02-03 19:15:00,region-1,server,95
2012-02-03 19:15:00,region-1,workstation,27
2012-02-03 19:30:00,region-1,atm,4
2012-02-03 19:30:00,region-1,server,98
2012-02-03 19:30:00,region-1,workstation,28
2012-02-03 19:45:00,region-1,atm,4
2012-02-03 19:45:00,region-1,server,99
2012-02-03 19:45:00,region-1,workstation,28
2012-02-03 20:00:00,region-1,atm,4
2012-02-03 20:00:00,region-1,server,103
2012-02-03 20:00:00,region-1,workstation,30
2012-02-03 20:15:00,region-1,atm,5
2012-02-03 20:15:00,region-1,server,107
2012-02-03 20:15:00,region-1,workstation,32
2012-02-03 20:30:00,region-1,atm,5
2012-02-03 20:30:00,region-1,server,108
2012-02-03 20:30:00,region-1,workstation,34
2012-02-03 20:45:00,region-1,atm,5
2012-02-03 20:45:00,region-1,server,108
2012-02-03 20:45:00,region-1,workstation,36
2012-02-03 21:00:00,region-1,atm,5
2012-02-03 21:00:00,region-1,server,111
2012-02-03 21:00:00,region-1,workstation,37
2012-02-03 21:15:00,region-1,atm,5
2012-02-03 21:15:00,region-1,server,111
2012-02-03 21:15:00,region-1,workstation,38
2012-02-03 21:30:00,region-1,atm,5
2012-02-03 21:30:00,region-1,server,112
2012-02-03 21:30:00,region-1,workstation,39
2012-02-03 21:45:00,region-1,atm,6
2012-02-03 21:45:00,region-1,server,112
2012-02-03 21:45:00,region-1,workstation,40
2012-02-03 22:00:00,region-1,atm,6
2012-02-03 22:00:00,region-1,server,119
2012-02-03 22:00:00,region-1,workstation,40
2012-02-03 22:15:00,region-1,atm,6
2012-02-03 22:15:00,region-1,server,119
2012-02-03 22:15:00,region-1,workstation,43
2012-02-03 22:30:00,region-1,atm,6
2012-02-03 22:30:00,region-1,server,124
2012-02-03 22:30:00,region-1,workstation,43
2012-02-03 22:45:00,region-1,atm,6
2012-02-03 22:45:00,region-1,server,126
2012-02-03 22:45:00,region-1,workstation,43
2012-02-03 23:00:00,region-1,atm,6
2012-02-03 23:00:00,region-1,server,131
2012-02-03 23:00:00,region-1,workstation,43
2012-02-03 23:15:00,region-1,atm,6
2012-02-03 23:15:00,region-1,server,134
2012-02-03 23:15:00,region-1,workstation,43
2012-02-03 23:30:00,region-1,atm,6
2012-02-03 23:30:00,region-1,server,139
2012-02-03 23:30:00,region-1,workstation,44
2012-02-03 23:45:00,region-1,atm,6
2012-02-03 23:45:00,region-1,server,143
2012-02-03 23:45:00,region-1,workstation,46
2012-02-04 00:00:00,region-1,atm,6
2012-02-04 00:00:00,region-1,server,148
2012-02-04 00:00:00,region-1,workstation,49
2012-02-04 00:15:00,region-1,atm,8
2012-02-04 00:15:00,region-1,server,148
2012-02-04 00:15:00,region-1,workstation,50
2012-02-04 00:30:00,region-1,atm,8
2012-02-04 00:30:00,region-1,server,151
2012-02-04 00:30:00,region-1,workstation,52
2012-02-04 00:45:00,region-1,atm,8
2012-02-04 00:45:00,region-1,server,155
2012-02-04 00:45:00,region-1,workstation,53
2012-02-04 01:00:00,region-1,atm,8
2012-02-04 01:00:00,region-1,server,157
2012-02-04 01:00:00,region-1,workstation,53
2012-02-04 01:15:00,region-1,atm,9
2012-02-04 01:15:00,region-1,server,160
2012-02-04 01:15:00,region-1,workstation,54
