businessunit,healthtime,a1,a2,a3,a4,a5,p1,p2,p3,p4,p5
region-44,2012-02-02 14:45:00,5192,4,105,27,62,4842,530,18,0,0
region-44,2012-02-02 15:00:00,5165,7,127,27,67,4831,544,18,0,0
region-44,2012-02-02 15:15:00,5185,8,113,30,52,4814,556,18,0,0
region-44,2012-02-02 15:30:00,5188,10,100,27,63,4796,574,18,0,0
region-44,2012-02-02 15:45:00,5191,5,112,20,55,4764,594,25,0,0
region-44,2012-02-02 16:00:00,5188,8,107,35,51,4754,610,24,1,0
region-44,2012-02-02 16:15:00,5183,6,107,29,60,4738,619,27,1,0
region-44,2012-02-02 16:30:00,5168,7,123,34,57,4723,636,28,2,0
region-44,2012-02-02 16:45:00,5173,5,131,27,56,4706,651,33,2,0
region-44,2012-02-02 17:00:00,5198,10,99,30,54,4692,660,37,2,0
region-44,2012-02-02 17:15:00,5187,10,110,25,55,4675,670,40,2,0
region-44,2012-02-02 17:30:00,5170,10,116,27,61,4655,686,41,2,0
region-44,2012-02-02 17:45:00,5179,8,109,22,65,4642,698,41,2,0
region-44,2012-02-02 18:00:00,5167,7,125,25,62,4628,715,41,2,0
region-44,2012-02-02 18:15:00,5158,5,123,35,66,4622,720,43,2,0
region-44,2012-02-02 18:30:00,5174,7,113,29,65,4608,735,43,2,0
region-44,2012-02-02 18:45:00,5156,6,112,37,76,4583,755,47,2,0
region-44,2012-02-02 19:00:00,5175,8,112,40,55,4566,772,50,2,0
region-44,2012-02-02 19:15:00,5177,4,101,34,72,4544,791,51,2,0
region-44,2012-02-02 19:30:00,5190,4,108,20,69,4529,806,54,2,0
region-44,2012-02-02 19:45:00,5169,4,125,31,61,4502,828,58,2,0
region-44,2012-02-02 20:00:00,5184,3,104,38,66,4490,843,60,2,0
region-44,2012-02-02 20:15:00,5202,6,91,28,68,4477,851,65,2,0
region-44,2012-02-02 20:30:00,5183,4,117,26,67,4455,870,70,2,0
region-44,2012-02-02 20:45:00,5203,6,109,18,62,4443,881,69,5,0
region-44,2012-02-02 21:00:00,5184,3,103,33,73,4419,898,73,5,1
region-44,2012-02-02 21:15:00,5201,6,106,28,55,4400,914,75,6,1
region-44,2012-02-02 21:30:00,5187,3,104,33,64,4387,918,79,6,1
region-44,2012-02-02 21:45:00,5187,9,116,33,50,4375,934,79,6,1
region-44,2012-02-02 22:00:00,5198,6,103,25,58,4358,944,81,6,1
region-44,2012-02-02 22:15:00,5183,5,116,30,54,4339,960,82,6,1
region-44,2012-02-02 22:30:00,5194,5,105,29,60,4326,977,83,6,1
region-44,2012-02-02 22:45:00,5193,8,110,25,58,4310,990,86,7,1
region-44,2012-02-02 23:00:00,5169,9,108,34,72,4292,996,96,7,1
region-44,2012-02-02 23:15:00,5179,6,110,29,64,4274,1006,100,7,1
region-44,2012-02-02 23:30:00,5187,6,103,27,65,4259,1019,102,7,1
region-44,2012-02-02 23:45:00,5164,12,121,25,65,4244,1027,108,7,1
region-44,2012-02-03 00:00:00,5169,8,115,30,61,4225,1040,110,7,1
region-44,2012-02-03 00:15:00,5160,5,134,28,55,4203,1057,113,8,1
region-44,2012-02-03 00:30:00,5183,4,112,35,53,4196,1067,114,9,1
region-44,2012-02-03 00:45:00,5187,5,113,27,58,4181,1078,120,10,1
region-44,2012-02-03 01:00:00,4287,8,0,0,0,3288,895,102,9,1
region-44,2012-02-03 01:15:00,4290,3,0,0,0,3277,896,110,9,1
region-44,2012-02-03 01:30:00,4288,6,0,0,0,3266,903,115,9,1
region-44,2012-02-03 01:45:00,4288,5,0,0,0,3250,914,119,9,1
region-44,2012-02-03 02:00:00,4289,4,0,0,0,3236,927,119,10,1
region-44,2012-02-03 02:15:00,4293,2,0,0,0,3227,933,124,10,1
region-44,2012-02-03 02:30:00,4292,4,0,0,0,3215,939,131,10,1
region-44,2012-02-03 02:45:00,4292,4,0,0,0,3204,948,132,11,1
region-44,2012-02-03 03:00:00,4292,4,0,0,0,3192,956,136,10,2
region-44,2012-02-03 03:15:00,4293,4,0,0,0,3178,967,137,13,2
region-44,2012-02-03 03:30:00,4293,1,0,0,0,3165,974,139,14,2
region-44,2012-02-03 03:45:00,4294,3,0,0,0,3158,978,143,16,2
region-44,2012-02-03 04:00:00,4292,9,0,0,0,3149,990,144,16,2
region-44,2012-02-03 04:15:00,4288,6,0,0,0,3128,1002,145,17,2
region-44,2012-02-03 04:30:00,4290,2,0,0,0,3109,1013,151,17,2
region-44,2012-02-03 04:45:00,4291,4,0,0,0,3100,1022,153,18,2
region-44,2012-02-03 05:00:00,4291,6,0,0,0,3086,1032,158,19,2
region-44,2012-02-03 05:15:00,4289,6,0,0,0,3073,1042,159,19,2
region-44,2012-02-03 05:30:00,4288,4,0,0,0,3058,1053,159,20,2
region-44,2012-02-03 05:45:00,4290,5,0,0,0,3049,1064,160,20,2
region-44,2012-02-03 06:00:00,4289,5,0,0,0,3034,1075,163,20,2
region-44,2012-02-03 06:15:00,4287,6,0,0,0,3020,1085,165,21,2
region-44,2012-02-03 06:30:00,4292,0,0,0,0,3010,1088,171,21,2
region-44,2012-02-03 06:45:00,4295,3,0,0,0,3004,1095,176,21,2
region-44,2012-02-03 07:00:00,4292,8,0,0,0,2997,1100,180,21,2
region-44,2012-02-03 07:15:00,4287,6,0,0,0,2980,1101,189,21,2
region-44,2012-02-03 07:30:00,4289,4,0,0,0,2964,1113,192,22,2
region-44,2012-02-03 07:45:00,4290,3,0,0,0,2953,1119,196,23,2
region-44,2012-02-03 08:00:00,4293,4,0,0,0,2943,1130,198,24,2
region-44,2012-02-03 08:15:00,4294,3,0,0,0,2936,1132,202,25,2
region-44,2012-02-03 08:30:00,4294,3,0,0,0,2928,1139,202,26,2
region-44,2012-02-03 08:45:00,4297,1,0,0,0,2917,1151,200,28,2
region-44,2012-02-03 09:00:00,4297,3,0,0,0,2907,1160,203,28,2
region-44,2012-02-03 09:15:00,4298,2,0,0,0,2896,1161,211,30,2
region-44,2012-02-03 09:30:00,4299,3,0,0,0,2882,1171,215,31,3
region-44,2012-02-03 09:45:00,4298,2,0,0,0,2873,1170,222,32,3
region-44,2012-02-03 10:00:00,4299,2,0,0,0,2850,1191,225,32,3
region-44,2012-02-03 10:15:00,4295,5,0,0,0,2841,1195,227,34,3
region-44,2012-02-03 10:30:00,4294,2,0,0,0,2829,1197,232,35,3
region-44,2012-02-03 10:45:00,4291,5,0,0,0,2823,1202,231,37,3
region-44,2012-02-03 11:00:00,4293,3,0,0,0,2808,1206,241,38,3
region-44,2012-02-03 11:15:00,4294,4,0,0,0,2800,1212,242,41,3
region-44,2012-02-03 11:30:00,4294,2,0,0,0,2789,1218,245,41,3
region-44,2012-02-03 11:45:00,4297,0,0,0,0,2784,1220,248,41,4
region-44,2012-02-03 12:00:00,4295,6,0,0,0,2772,1230,254,41,4
region-44,2012-02-03 12:15:00,4293,5,0,0,0,2759,1235,257,43,4
region-44,2012-02-03 12:30:00,4293,2,0,0,0,2743,1244,258,46,4
region-44,2012-02-03 12:45:00,4293,5,0,0,0,2731,1254,263,46,4
region-44,2012-02-03 13:00:00,4291,6,0,0,0,2718,1264,265,46,4
region-44,2012-02-03 13:15:00,4292,4,0,0,0,2708,1266,271,47,4
region-44,2012-02-03 13:30:00,4295,3,0,0,0,2697,1278,271,48,4
region-44,2012-02-03 13:45:00,4288,7,0,0,0,2684,1281,278,48,4
region-44,2012-02-03 14:00:00,5181,5,113,35,59,3374,1602,348,64,5
region-44,2012-02-03 14:15:00,5179,5,110,23,77,3358,1609,354,67,6
region-44,2012-02-03 14:30:00,5181,3,120,20,69,3342,1618,357,70,6
region-44,2012-02-03 14:45:00,5196,5,107,26,58,3326,1628,360,72,6
region-44,2012-02-03 15:00:00,5197,6,109,29,54,3318,1632,364,75,6
region-44,2012-02-03 15:15:00,5162,4,132,28,69,3306,1640,365,78,6
region-44,2012-02-03 15:30:00,5180,6,123,36,52,3299,1645,367,80,6
region-44,2012-02-03 15:45:00,5195,4,103,33,59,3276,1651,378,83,6
region-44,2012-02-03 16:00:00,5204,6,105,27,56,3265,1659,385,83,6
region-44,2012-02-03 16:15:00,5185,5,118,30,56,3253,1661,390,84,6
region-44,2012-02-03 16:30:00,5202,3,108,24,56,3235,1668,398,85,7
region-44,2012-02-03 16:45:00,5230,6,93,23,45,3230,1670,403,87,7
region-44,2012-02-03 17:00:00,5213,3,104,15,60,3214,1677,408,89,7
region-44,2012-02-03 17:15:00,5206,7,110,25,47,3206,1678,413,91,7
region-44,2012-02-03 17:30:00,5212,7,114,13,47,3191,1690,413,92,7
region-44,2012-02-03 17:45:00,5186,6,107,31,64,3180,1695,415,96,8
region-44,2012-02-03 18:00:00,5188,8,120,24,52,3162,1704,419,99,8
region-44,2012-02-03 18:15:00,5187,5,115,28,54,3150,1707,423,101,8
region-44,2012-02-03 18:30:00,5179,5,126,29,54,3139,1710,433,102,9
region-44,2012-02-03 18:45:00,5189,10,113,21,60,3122,1716,442,104,9
region-44,2012-02-03 19:00:00,5184,6,109,32,58,3108,1716,449,107,9
region-44,2012-02-03 19:15:00,5169,10,121,21,71,3097,1723,452,111,9
region-44,2012-02-03 19:30:00,5194,4,105,23,58,3075,1733,453,114,9
region-44,2012-02-03 19:45:00,5188,4,113,25,60,3069,1738,462,112,9
region-44,2012-02-03 20:00:00,5180,4,116,35,59,3059,1744,468,113,10
region-44,2012-02-03 20:15:00,5185,7,120,28,53,3049,1743,474,117,10
region-44,2012-02-03 20:30:00,5177,4,118,37,52,3035,1742,482,119,10
region-44,2012-02-03 20:45:00,5185,10,105,32,61,3027,1744,491,121,10
region-44,2012-02-03 21:00:00,5171,5,120,25,64,3013,1746,493,123,10
region-44,2012-02-03 21:15:00,5191,5,96,33,64,3010,1745,500,124,10
region-44,2012-02-03 21:30:00,5192,6,97,23,71,2995,1756,499,128,11
region-44,2012-02-03 21:45:00,5181,5,113,32,59,2987,1758,505,129,11
region-44,2012-02-03 22:00:00,5203,3,94,32,60,2981,1764,506,129,12
region-44,2012-02-03 22:15:00,5209,5,96,25,58,2962,1776,514,129,12
region-44,2012-02-03 22:30:00,5208,7,86,26,64,2951,1780,516,132,12
region-44,2012-02-03 22:45:00,5153,8,134,25,72,2941,1783,521,132,15
region-44,2012-02-03 23:00:00,5178,7,110,27,66,2929,1787,524,133,15
region-44,2012-02-03 23:15:00,5174,5,128,24,58,2921,1786,531,135,16
region-44,2012-02-03 23:30:00,5170,4,135,32,52,2912,1796,534,133,18
region-44,2012-02-03 23:45:00,5190,5,106,27,66,2904,1794,537,140,19
region-44,2012-02-04 00:00:00,5166,2,127,29,67,2893,1791,546,141,20
region-44,2012-02-04 00:15:00,5183,2,108,31,71,2890,1795,547,143,20
region-44,2012-02-04 00:30:00,5202,3,108,30,55,2881,1801,553,142,21
region-44,2012-02-04 00:45:00,5198,4,116,30,52,2873,1809,554,143,21
region-44,2012-02-04 01:00:00,4292,8,0,0,0,2274,1451,439,117,19
region-44,2012-02-04 01:15:00,4291,2,0,0,0,2260,1452,444,117,20
region-44,2012-02-04 01:30:00,4289,6,0,0,0,2245,1465,447,118,20
region-44,2012-02-04 01:45:00,4290,3,0,0,0,2232,1470,450,120,21
region-44,2012-02-04 02:00:00,4291,4,0,0,0,2225,1475,450,124,21
region-44,2012-02-04 02:15:00,4292,5,0,0,0,2210,1486,453,127,21
region-44,2012-02-04 02:30:00,4290,4,0,0,0,2201,1489,457,126,21
region-44,2012-02-04 02:45:00,4295,2,0,0,0,2195,1493,460,128,21
region-44,2012-02-04 03:00:00,4291,7,0,0,0,2189,1493,464,130,22
region-44,2012-02-04 03:15:00,4291,3,0,0,0,2185,1491,466,130,22
region-44,2012-02-04 03:30:00,4293,2,0,0,0,2178,1495,468,130,24
region-44,2012-02-04 03:45:00,4289,6,0,0,0,2170,1498,472,130,25
region-44,2012-02-04 04:00:00,4292,3,0,0,0,2162,1502,475,130,26
region-44,2012-02-04 04:15:00,4291,7,0,0,0,2156,1502,484,130,26
region-44,2012-02-04 04:30:00,4291,4,0,0,0,2141,1505,489,134,26
region-44,2012-02-04 04:45:00,4292,1,0,0,0,2133,1507,491,136,26
region-44,2012-02-04 05:00:00,4290,5,0,0,0,2127,1508,496,137,27
region-44,2012-02-04 05:15:00,4288,7,0,0,0,2119,1511,500,135,30
region-44,2012-02-04 05:30:00,4288,5,0,0,0,2107,1514,504,138,30
region-44,2012-02-04 05:45:00,4285,8,0,0,0,2099,1513,509,141,31
region-44,2012-02-04 06:00:00,4286,5,0,0,0,2092,1516,510,141,32
region-44,2012-02-04 06:15:00,4284,3,0,0,0,2086,1508,521,139,33
region-44,2012-02-04 06:30:00,4291,3,0,0,0,2085,1510,525,140,34
region-44,2012-02-04 06:45:00,4295,3,0,0,0,2075,1522,523,143,35
region-44,2012-02-04 07:00:00,4289,9,0,0,0,2072,1523,522,145,36
region-44,2012-02-04 07:15:00,4289,2,0,0,0,2058,1523,527,146,37
region-44,2012-02-04 07:30:00,4292,3,0,0,0,2048,1529,533,148,37
region-44,2012-02-04 07:45:00,4293,4,0,0,0,2042,1530,535,153,37
region-44,2012-02-04 08:00:00,4292,6,0,0,0,2037,1532,536,156,37
region-45,2012-02-02 08:15:00,4349,7,0,0,0,4338,18,0,0,0
region-45,2012-02-02 08:30:00,4343,6,0,0,0,4322,26,1,0,0
region-45,2012-02-02 08:45:00,4338,6,0,0,0,4301,42,1,0,0
region-45,2012-02-02 09:00:00,4338,4,0,0,0,4281,59,2,0,0
region-45,2012-02-02 09:15:00,4337,3,0,0,0,4262,76,2,0,0
region-45,2012-02-02 09:30:00,4341,2,0,0,0,4242,99,2,0,0
region-45,2012-02-02 09:45:00,4344,2,0,0,0,4225,119,2,0,0
region-45,2012-02-02 10:00:00,4350,1,0,0,0,4208,141,2,0,0
region-45,2012-02-02 10:15:00,4349,3,0,0,0,4193,157,2,0,0
region-45,2012-02-02 10:30:00,4346,4,0,0,0,4178,170,2,0,0
region-45,2012-02-02 10:45:00,4343,6,0,0,0,4161,186,2,0,0
region-45,2012-02-02 11:00:00,4341,4,0,0,0,4145,197,3,0,0
region-45,2012-02-02 11:15:00,4343,3,0,0,0,4127,214,5,0,0
region-45,2012-02-02 11:30:00,4343,4,0,0,0,4113,229,5,0,0
region-45,2012-02-02 11:45:00,4342,5,0,0,0,4096,244,7,0,0
region-45,2012-02-02 12:00:00,4343,2,0,0,0,4082,256,7,0,0
region-45,2012-02-02 12:15:00,4340,7,0,0,0,4069,270,7,1,0
region-45,2012-02-02 12:30:00,4337,6,0,0,0,4050,283,9,1,0
region-45,2012-02-02 12:45:00,4336,5,0,0,0,4031,298,11,1,0
region-45,2012-02-02 13:00:00,4337,7,0,0,0,4017,315,11,1,0
region-45,2012-02-02 13:15:00,4338,4,0,0,0,4008,319,14,1,0
region-45,2012-02-02 13:30:00,4338,4,0,0,0,3993,333,15,1,0
region-45,2012-02-02 13:45:00,4343,4,0,0,0,3982,350,14,1,0
region-45,2012-02-02 14:00:00,5224,3,110,24,57,4953,448,16,1,0
region-45,2012-02-02 14:15:00,5205,4,137,19,56,4940,463,17,1,0
region-45,2012-02-02 14:30:00,5215,10,119,21,55,4923,476,20,1,0
region-45,2012-02-02 14:45:00,5207,6,121,28,49,4885,505,19,2,0
region-45,2012-02-02 15:00:00,5212,6,115,28,52,4867,523,21,2,0
region-45,2012-02-02 15:15:00,5212,3,111,29,58,4836,553,22,2,0
region-45,2012-02-02 15:30:00,5193,8,113,32,72,4825,565,26,2,0
region-45,2012-02-02 15:45:00,5223,5,103,30,56,4809,578,28,2,0
region-45,2012-02-02 16:00:00,5209,9,109,29,58,4785,597,30,2,0
region-45,2012-02-02 16:15:00,5207,4,102,24,73,4771,605,32,2,0
region-45,2012-02-02 16:30:00,5207,3,127,31,49,4758,623,34,2,0
region-45,2012-02-02 16:45:00,5206,5,115,37,59,4744,641,35,2,0
region-45,2012-02-02 17:00:00,5221,5,109,29,55,4725,655,37,2,0
region-45,2012-02-02 17:15:00,5237,3,96,28,54,4703,673,40,2,0
region-45,2012-02-02 17:30:00,5225,5,88,31,72,4690,686,43,2,0
region-45,2012-02-02 17:45:00,5214,4,114,25,61,4661,707,48,2,0
region-45,2012-02-02 18:00:00,5217,10,100,28,64,4647,718,52,2,0
region-45,2012-02-02 18:15:00,5231,10,85,25,62,4628,726,57,2,0
region-45,2012-02-02 18:30:00,5194,7,113,30,64,4600,747,59,2,0
region-45,2012-02-02 18:45:00,5196,7,134,22,52,4593,756,60,2,0
region-45,2012-02-02 19:00:00,5199,4,122,22,65,4570,778,62,2,0
region-45,2012-02-02 19:15:00,5213,11,110,35,45,4552,792,67,3,0
region-45,2012-02-02 19:30:00,5216,4,111,23,56,4526,805,76,3,0
region-45,2012-02-02 19:45:00,5203,5,119,18,70,4506,823,82,4,0
region-45,2012-02-02 20:00:00,5176,4,129,26,81,4490,837,84,5,0
region-45,2012-02-02 20:15:00,5210,7,107,23,71,4476,849,88,5,0
region-45,2012-02-02 20:30:00,5226,5,103,26,58,4461,860,92,5,0
region-45,2012-02-02 20:45:00,5202,7,114,24,67,4437,877,95,5,0
region-45,2012-02-02 21:00:00,5227,3,103,24,59,4420,892,99,5,0
region-45,2012-02-02 21:15:00,5192,5,112,42,65,4402,906,102,6,0
region-45,2012-02-02 21:30:00,5215,7,95,28,76,4380,928,107,6,0
region-45,2012-02-02 21:45:00,5194,3,117,36,68,4358,945,108,7,0
region-45,2012-02-02 22:00:00,5212,8,112,30,59,4339,964,111,7,0
region-45,2012-02-02 22:15:00,5203,6,122,21,65,4315,981,114,7,0
region-45,2012-02-02 22:30:00,5208,9,106,25,67,4289,999,120,7,0
region-45,2012-02-02 22:45:00,5229,5,103,29,47,4265,1019,121,8,0
region-45,2012-02-02 23:00:00,5215,7,110,25,57,4248,1034,123,9,0
region-45,2012-02-02 23:15:00,5205,6,116,30,56,4228,1050,126,9,0
region-45,2012-02-02 23:30:00,5202,6,118,25,60,4219,1053,130,9,0
region-45,2012-02-02 23:45:00,5215,6,108,21,62,4201,1067,134,10,0
region-45,2012-02-03 00:00:00,5208,5,109,26,63,4184,1081,133,13,0
region-45,2012-02-03 00:15:00,5207,12,123,20,52,4172,1095,133,14,0
region-45,2012-02-03 00:30:00,5204,3,105,25,69,4153,1099,139,15,0
region-45,2012-02-03 00:45:00,5217,1,114,29,55,4148,1111,141,15,1
region-45,2012-02-03 01:00:00,4347,4,0,0,0,3325,891,120,13,2
region-45,2012-02-03 01:15:00,4343,6,0,0,0,3313,900,121,12,3
region-45,2012-02-03 01:30:00,4343,4,0,0,0,3299,910,121,14,3
region-45,2012-02-03 01:45:00,4343,3,0,0,0,3283,920,126,13,4
region-45,2012-02-03 02:00:00,4342,2,0,0,0,3266,927,134,13,4
region-45,2012-02-03 02:15:00,4343,5,0,0,0,3253,943,134,14,4
region-45,2012-02-03 02:30:00,4346,1,0,0,0,3239,952,138,14,4
region-45,2012-02-03 02:45:00,4344,5,0,0,0,3233,957,141,13,5
region-45,2012-02-03 03:00:00,4345,4,0,0,0,3223,960,147,13,6
region-45,2012-02-03 03:15:00,4344,6,0,0,0,3209,968,154,13,6
region-45,2012-02-03 03:30:00,4342,7,0,0,0,3197,975,158,13,6
region-45,2012-02-03 03:45:00,4341,5,0,0,0,3183,983,161,13,6
region-45,2012-02-03 04:00:00,4340,3,0,0,0,3171,985,166,15,6
region-45,2012-02-03 04:15:00,4340,5,0,0,0,3167,989,168,15,6
region-45,2012-02-03 04:30:00,4334,9,0,0,0,3148,1006,168,15,6
region-45,2012-02-03 04:45:00,4337,5,0,0,0,3134,1016,171,15,6
region-45,2012-02-03 05:00:00,4337,4,0,0,0,3116,1032,172,15,6
region-45,2012-02-03 05:15:00,4333,6,0,0,0,3104,1040,174,15,6
region-45,2012-02-03 05:30:00,4334,9,0,0,0,3096,1049,175,17,6
region-45,2012-02-03 05:45:00,4334,5,0,0,0,3085,1053,178,17,6
region-45,2012-02-03 06:00:00,4337,3,0,0,0,3074,1062,181,17,6
region-45,2012-02-03 06:15:00,4329,13,0,0,0,3061,1069,188,18,6
region-45,2012-02-03 06:30:00,4329,5,0,0,0,3036,1081,193,18,6
region-45,2012-02-03 06:45:00,4332,5,0,0,0,3021,1096,195,19,6
region-45,2012-02-03 07:00:00,4330,11,0,0,0,3010,1110,196,19,6
region-45,2012-02-03 07:15:00,4332,2,0,0,0,2994,1117,197,20,6
region-45,2012-02-03 07:30:00,4335,5,0,0,0,2990,1122,201,21,6
region-45,2012-02-03 07:45:00,4337,5,0,0,0,2979,1131,203,22,7
region-45,2012-02-03 08:00:00,4342,2,0,0,0,2967,1142,206,22,7
region-45,2012-02-03 08:15:00,4344,5,0,0,0,2959,1152,209,22,7
region-45,2012-02-03 08:30:00,4343,3,0,0,0,2949,1153,213,23,8
region-45,2012-02-03 08:45:00,4347,1,0,0,0,2934,1160,222,24,8
region-45,2012-02-03 09:00:00,4345,4,0,0,0,2922,1169,226,24,8
region-45,2012-02-03 09:15:00,4343,6,0,0,0,2913,1173,231,24,8
region-45,2012-02-03 09:30:00,4345,2,0,0,0,2897,1187,231,24,8
region-45,2012-02-03 09:45:00,4342,5,0,0,0,2883,1198,234,24,8
region-45,2012-02-03 10:00:00,4343,2,0,0,0,2864,1212,236,25,8
region-45,2012-02-03 10:15:00,4345,2,0,0,0,2852,1222,240,25,8
region-45,2012-02-03 10:30:00,4342,7,0,0,0,2846,1227,241,27,8
region-45,2012-02-03 10:45:00,4342,4,0,0,0,2832,1234,245,27,8
region-45,2012-02-03 11:00:00,4339,8,0,0,0,2823,1240,249,27,8
region-45,2012-02-03 11:15:00,4339,3,0,0,0,2817,1236,254,27,8
region-45,2012-02-03 11:30:00,4344,3,0,0,0,2813,1235,261,28,10
region-45,2012-02-03 11:45:00,4345,2,0,0,0,2800,1244,263,30,10
region-45,2012-02-03 12:00:00,4348,2,0,0,0,2798,1244,268,30,10
region-45,2012-02-03 12:15:00,4345,5,0,0,0,2787,1250,272,31,10
region-45,2012-02-03 12:30:00,4344,4,0,0,0,2770,1264,273,31,10
region-45,2012-02-03 12:45:00,4340,8,0,0,0,2761,1265,281,29,12
region-45,2012-02-03 13:00:00,4340,3,0,0,0,2744,1270,288,29,12
region-45,2012-02-03 13:15:00,4336,8,0,0,0,2731,1281,287,33,12
region-45,2012-02-03 13:30:00,4335,4,0,0,0,2716,1283,295,33,12
region-45,2012-02-03 13:45:00,4338,4,0,0,0,2705,1293,299,33,12
region-45,2012-02-03 14:00:00,5202,7,111,28,65,3356,1615,380,48,14
region-45,2012-02-03 14:15:00,5173,2,127,34,79,3339,1623,389,50,14
region-45,2012-02-03 14:30:00,5196,5,122,30,66,3326,1634,392,53,14
region-45,2012-02-03 14:45:00,5203,7,112,31,63,3313,1637,397,55,14
region-45,2012-02-03 15:00:00,5183,7,145,22,57,3297,1646,402,54,15
region-45,2012-02-03 15:15:00,5220,6,104,26,59,3286,1651,404,59,15
region-45,2012-02-03 15:30:00,5197,8,113,24,69,3269,1656,410,61,15
region-45,2012-02-03 15:45:00,5191,3,115,23,73,3253,1663,412,62,15
region-45,2012-02-03 16:00:00,5212,8,102,32,63,3249,1672,417,64,15
region-45,2012-02-03 16:15:00,5189,3,124,29,69,3231,1675,425,68,15
region-45,2012-02-03 16:30:00,5194,3,124,34,64,3218,1684,430,71,16
region-45,2012-02-03 16:45:00,5226,2,109,25,60,3207,1693,434,72,16
region-45,2012-02-03 17:00:00,5222,6,115,22,57,3198,1694,441,73,16
region-45,2012-02-03 17:15:00,5207,4,112,35,61,3176,1708,445,74,16
region-45,2012-02-03 17:30:00,5225,6,109,24,57,3168,1710,451,75,17
region-45,2012-02-03 17:45:00,5198,7,110,29,72,3150,1713,461,75,17
region-45,2012-02-03 18:00:00,5209,12,109,23,60,3140,1714,467,75,17
region-45,2012-02-03 18:15:00,5212,5,104,30,61,3124,1722,472,77,17
region-45,2012-02-03 18:30:00,5197,7,117,30,59,3109,1735,469,79,18
region-45,2012-02-03 18:45:00,5202,7,124,23,53,3097,1739,475,80,18
region-45,2012-02-03 19:00:00,5202,6,110,27,66,3087,1748,476,81,19
region-45,2012-02-03 19:15:00,5205,10,118,28,52,3077,1755,481,81,19
region-45,2012-02-03 19:30:00,5182,9,118,30,66,3062,1755,487,82,19
region-45,2012-02-03 19:45:00,5185,7,119,26,71,3051,1764,489,84,20
region-45,2012-02-03 20:00:00,5219,5,102,23,61,3041,1770,492,87,20
region-45,2012-02-03 20:15:00,5183,6,129,25,72,3029,1781,495,90,20
region-45,2012-02-03 20:30:00,5228,5,102,26,54,3024,1781,499,91,20
region-45,2012-02-03 20:45:00,5221,3,110,27,56,3016,1780,507,94,20
region-45,2012-02-03 21:00:00,5218,5,113,25,58,3002,1789,514,94,20
region-45,2012-02-03 21:15:00,5201,9,128,25,55,2996,1786,519,96,21
region-45,2012-02-03 21:30:00,5202,6,123,32,53,2977,1796,524,98,21
region-45,2012-02-03 21:45:00,5228,1,103,30,52,2965,1801,527,100,21
region-45,2012-02-03 22:00:00,5230,4,106,21,58,2961,1804,531,101,22
region-45,2012-02-03 22:15:00,5197,7,119,28,71,2952,1808,538,101,23
region-45,2012-02-03 22:30:00,5196,7,118,31,68,2935,1818,541,101,25
region-45,2012-02-03 22:45:00,5208,9,108,28,62,2921,1822,546,101,25
region-45,2012-02-03 23:00:00,5185,8,122,31,67,2910,1823,554,101,25
region-45,2012-02-03 23:15:00,5187,4,116,33,69,2901,1819,562,102,25
region-45,2012-02-03 23:30:00,5192,6,119,29,66,2895,1823,565,102,27
region-45,2012-02-03 23:45:00,5220,6,86,33,64,2882,1825,573,102,27
