ipaddr,machineclass,machinefunction,businessunit,facility,latitude,longitude
172.11.202.28,server,multiple,region-2,branch45,21.600735,-151.20383
172.11.213.2,atm,,region-2,branch48,23.164106,-149.63742
172.11.85.2,server,multiple,region-2,branch6,27.98037,-147.48132
172.2.11.213,server,compute,headquarters,datacenter-2,36.03496,-144.79274
172.11.242.46,workstation,office,region-2,branch58,18.592625,-142.01462
172.12.23.2,server,web,region-2,branch70,31.42288,-153.12274
172.11.91.2,server,web,region-2,branch8,22.194908,-144.60764
172.11.94.2,server,file server,region-2,branch9,20.245737,-152.45233
172.12.56.25,server,multiple,region-2,branch81,30.592012,-146.16203
172.11.98.34,workstation,office,region-2,branch10,27.772125,-149.60645
172.12.92.36,server,multiple,region-2,branch93,30.032206,-149.70082
172.12.109.2,atm,,region-2,branch98,25.29008,-147.1795
172.5.124.246,server,multiple,region-2,headquarters,25.331583,-148.8732
172.13.162.31,server,multiple,region-3,branch1,-3.3713021,-104.71876
172.13.193.48,workstation,teller,region-3,branch11,-10.013837,-107.4571
172.13.195.2,server,multiple,region-3,branch12,0.3615271,-107.839424
172.13.198.2,server,file server,region-3,branch13,-9.714266,-115.52745
172.13.205.29,workstation,office,region-3,branch15,-6.473133,-109.36998
172.15.121.2,atm,,region-3,branch156,-5.7622194,-115.64839
172.15.163.2,atm,,region-3,branch170,-1.2021078,-102.41951
172.13.213.2,server,web,region-3,branch18,-3.7602088,-106.616196
172.13.218.10,atm,,region-3,branch19,-5.6759415,-115.00997
172.15.217.2,atm,,region-3,branch188,-1.0825089,-102.77968
172.13.168.2,server,multiple,region-3,branch3,-5.464573,-113.08388
172.13.230.2,atm,,region-3,branch23,-11.220756,-105.7748
172.13.248.2,atm,,region-3,branch29,-7.4353857,-109.63299
172.14.1.25,server,web,region-3,branch32,-6.9817343,-109.980064
172.14.14.23,workstation,loan,region-3,branch36,-5.0130553,-106.003456
172.14.17.10,workstation,loan,region-3,branch37,-5.705443,-106.99511
172.13.175.41,workstation,teller,region-3,branch5,-5.929214,-110.48541
172.14.30.2,atm,,region-3,branch41,1.0991013,-104.81539
172.14.32.30,workstation,loan,region-3,branch42,-8.075379,-107.94838
172.13.177.2,server,multiple,region-3,branch6,-11.120642,-105.184784
172.14.96.8,atm,,region-3,branch63,-9.885972,-108.20544
172.13.184.39,workstation,office,region-3,branch8,-12.211625,-109.77124
172.14.127.31,server,email,region-3,branch74,-4.985683,-115.88893
172.14.147.2,atm,,region-3,branch80,-2.3260903,-113.494606
172.13.186.2,server,multiple,region-3,branch9,-5.0147705,-115.753
172.14.165.9,atm,,region-3,branch86,-7.668322,-112.9249
172.14.171.2,atm,,region-3,branch88,-7.99011,-107.18629
172.14.174.2,atm,,region-3,branch89,-6.872559,-104.59396
172.13.189.2,server,web,region-3,branch10,-1.6913824,-106.356415
172.5.208.219,server,file server,region-3,headquarters,-2.3593233,-111.52121
172.2.211.26,server,compute,headquarters,datacenter-3,-14.542416,-122.5633
172.45.134.30,server,file server,region-33,branch1,5.794082,-133.29141
172.45.165.49,workstation,loan,region-33,branch11,4.003077,-132.17992
172.45.168.32,workstation,office,region-33,branch12,4.5184093,-133.29025
172.45.181.8,atm,,region-33,branch16,5.629846,-132.74614
172.45.140.2,server,file server,region-33,branch3,4.9622955,-133.84612
172.45.143.2,server,web,region-33,branch4,5.4587555,-132.18854
172.45.247.2,atm,,region-33,branch38,4.327331,-132.30815
172.45.150.30,workstation,teller,region-33,branch6,5.241971,-132.83392
172.46.30.2,server,email,region-34,branch1,13.260908,-149.33702
172.46.60.2,server,multiple,region-34,branch11,12.857144,-149.29707
172.46.34.38,workstation,office,region-34,branch2,0.57528484,-150.97978
172.46.66.40,server,multiple,region-34,branch13,11.914722,-150.76701
172.46.74.6,atm,,region-34,branch15,2.235445,-150.09483
172.46.36.2,server,multiple,region-34,branch3,1.2495887,-149.13522
172.46.95.2,atm,,region-34,branch22,12.567531,-150.97975
172.46.39.2,server,web,region-34,branch4,4.7595043,-149.45747
172.46.128.2,atm,,region-34,branch33,-0.79153305,-150.28049
172.46.140.10,atm,,region-34,branch37,4.323845,-151.69621
172.46.146.2,atm,,region-34,branch39,8.105265,-151.93916
172.46.56.9,atm,,region-34,branch9,4.8310285,-150.77072
172.8.180.225,workstation,office,region-33,headquarters,5.5425982,-133.1174
172.8.183.218,workstation,office,region-34,headquarters,10.540474,-150.721
172.46.181.20,workstation,office,region-35,branch1,9.587371,-153.90193
172.46.217.49,workstation,loan,region-35,branch13,10.168641,-153.12617
172.46.220.36,workstation,teller,region-35,branch14,7.6239476,-154.6521
172.46.233.9,atm,,region-35,branch18,9.3937845,-153.88872
172.15.254.29,server,multiple,region-4,branch1,26.81743,-69.80184
172.47.2.9,workstation,loan,region-35,branch26,8.690743,-154.2611
172.16.32.10,atm,,region-4,branch11,32.72254,-59.536327
172.17.51.2,atm,,region-4,branch102,30.967781,-59.483826
172.47.12.2,atm,,region-35,branch29,9.688134,-155.5576
172.46.189.2,server,multiple,region-35,branch4,12.20622,-154.38205
172.47.27.4,atm,,region-35,branch34,11.916668,-153.82407
172.16.33.2,server,compute,region-4,branch12,24.222878,-56.307587
172.46.193.46,workstation,teller,region-35,branch5,9.252027,-156.92508
172.47.48.2,atm,,region-35,branch41,12.365809,-157.41669
172.47.52.2,server,multiple,region-35,branch43,10.316622,-157.75398
172.47.55.31,server,email,region-35,branch44,11.734332,-157.5875
172.47.63.2,atm,,region-35,branch46,11.767954,-156.74644
172.46.195.2,server,multiple,region-35,branch6,10.126428,-156.0617
172.46.202.46,workstation,office,region-35,branch8,9.035786,-156.65637
172.46.205.34,workstation,office,region-35,branch9,8.285987,-153.58757
172.47.77.12,workstation,office,region-36,branch1,37.828068,-145.76692
172.47.111.3,atm,,region-36,branch12,42.506226,-145.2443
172.17.136.11,server,web,region-4,branch131,24.909992,-56.931614
172.16.40.31,workstation,office,region-4,branch14,31.053404,-55.271717
172.47.115.2,server,multiple,region-36,branch14,37.850727,-145.73769
172.47.113.37,workstation,teller,region-36,branch13,35.39598,-148.39862
172.47.124.20,server,web,region-36,branch17,43.43319,-148.26465
172.47.132.2,atm,,region-36,branch19,40.633358,-147.79945
172.16.43.35,workstation,loan,region-4,branch15,30.81143,-57.45828
172.47.168.2,atm,,region-36,branch31,35.673737,-144.06683
172.47.184.31,server,email,region-36,branch37,32.22494,-146.76067
172.47.189.8,atm,,region-36,branch38,36.90018,-148.73653
172.17.228.2,atm,,region-4,branch161,26.696695,-57.963367
172.47.94.4,server,web,region-36,branch7,43.64619,-146.05759
172.47.92.29,workstation,office,region-36,branch6,32.370346,-145.68779
172.8.186.239,workstation,office,region-35,headquarters,10.167218,-156.32468
172.8.189.65,workstation,teller,region-36,headquarters,36.11339,-148.49321
172.47.226.2,server,web,region-37,branch1,33.77252,-139.89569
172.48.3.46,workstation,office,region-37,branch11,33.085747,-139.90825
172.48.6.32,workstation,office,region-37,branch12,30.217304,-134.87097
172.48.9.20,workstation,loan,region-37,branch13,25.741512,-132.2035
172.18.72.4,workstation,loan,region-4,branch194,31.12852,-60.703793
172.47.235.3,server,multiple,region-37,branch4,26.765545,-136.6192
172.16.6.2,server,multiple,region-4,branch3,27.787485,-66.70095
172.16.65.3,atm,,region-4,branch22,28.395945,-60.644485
172.48.79.2,atm,,region-37,branch36,27.398945,-137.48705
172.48.84.6,workstation,loan,region-37,branch38,31.443005,-140.47415
172.16.83.6,atm,,region-4,branch28,26.679285,-57.077145
172.47.239.45,workstation,office,region-37,branch5,29.761642,-139.20587
172.48.106.8,atm,,region-37,branch45,33.67327,-136.54276
172.47.241.2,server,web,region-37,branch6,33.91022,-131.71904
172.16.12.2,server,web,region-4,branch5,32.84887,-67.93399
172.47.245.41,workstation,teller,region-37,branch7,28.580744,-132.62465
172.47.248.29,workstation,office,region-37,branch8,26.989298,-139.65874
172.48.122.2,server,multiple,region-38,branch1,-1.2067329,-89.33825
172.48.152.3,server,web,region-38,branch11,5.1125984,-93.37659
172.48.127.6,atm,,region-38,branch2,2.8480315,-93.1154
172.48.156.24,workstation,office,region-38,branch12,-0.17837262,-87.48193
172.16.15.2,server,compute,region-4,branch6,32.958656,-67.1721
172.16.152.9,atm,,region-4,branch51,26.394764,-62.977097
172.16.158.2,atm,,region-4,branch53,26.149595,-56.129654
172.48.128.2,server,multiple,region-38,branch3,-0.17865051,-90.20055
172.16.18.2,server,multiple,region-4,branch7,28.942236,-60.32645
172.48.131.2,server,multiple,region-38,branch4,2.855768,-93.23968
172.16.188.2,atm,,region-4,branch63,32.23715,-65.32593
172.16.197.2,atm,,region-4,branch66,30.72565,-56.425903
172.48.220.2,atm,,region-38,branch33,9.358167,-86.660095
172.48.232.8,atm,,region-38,branch37,5.464573,-93.35491
172.16.215.2,atm,,region-4,branch72,26.313791,-61.503143
172.48.134.2,server,web,region-38,branch5,4.057374,-93.71666
172.16.25.36,workstation,teller,region-4,branch9,34.60421,-66.54035
172.48.143.25,server,web,region-38,branch8,12.8198,-92.403275
172.16.254.9,atm,,region-4,branch85,28.394445,-55.297363
172.48.149.8,server,web,region-38,branch10,2.269922,-92.920616
172.48.148.8,atm,,region-38,branch9,6.99729,-87.961296
172.8.190.67,server,web,region-37,headquarters,33.587524,-133.27333
172.17.11.3,workstation,loan,region-4,branch89,32.2714,-60.177635
172.16.27.2,server,web,region-4,branch10,29.299511,-63.669075
172.17.21.2,atm,,region-4,branch92,24.185205,-65.47978
172.8.194.221,workstation,teller,region-38,headquarters,5.89597,-87.016365
172.17.36.8,atm,,region-4,branch97,26.945028,-65.71873
172.49.19.24,workstation,teller,region-39,branch1,32.6411,-123.1338
172.49.56.6,atm,,region-39,branch13,37.042187,-121.28501
172.49.58.43,workstation,office,region-39,branch14,48.778522,-125.85187
172.49.61.32,workstation,office,region-39,branch15,35.82577,-124.775024
172.49.25.41,workstation,office,region-39,branch3,20.00515,-122.24106
172.6.40.201,server,file server,region-4,headquarters,31.44596,-61.232533
172.49.102.38,server,email,region-39,branch29,53.25138,-127.12118
172.49.27.2,server,file server,region-39,branch4,22.017279,-125.16473
172.49.108.2,server,multiple,region-39,branch31,51.18152,-121.63971
172.49.128.9,atm,,region-39,branch37,51.90691,-124.51624
172.49.138.2,server,email,region-39,branch41,28.361647,-126.93708
172.49.37.10,workstation,loan,region-39,branch7,21.777376,-123.97394
172.49.44.9,atm,,region-39,branch9,40.761204,-121.386185
172.49.171.2,server,multiple,region-40,branch2,12.565509,-113.017136
172.49.169.31,workstation,office,region-40,branch1,10.277351,-113.6271
172.49.206.9,atm,,region-40,branch13,10.429973,-114.684944
172.49.208.43,workstation,teller,region-40,branch14,10.345078,-109.51468
172.49.211.28,workstation,teller,region-40,branch15,12.586229,-109.83582
172.49.175.28,workstation,loan,region-40,branch3,11.443554,-112.150055
172.49.178.40,workstation,office,region-40,branch4,9.270133,-109.96137
172.50.8.20,workstation,loan,region-40,branch32,11.77885,-111.93553
172.49.180.2,server,multiple,region-40,branch5,9.226629,-113.35048
172.50.51.11,atm,,region-40,branch46,10.960789,-111.07926
172.50.57.2,atm,,region-40,branch48,9.182186,-107.51853
172.50.63.2,atm,,region-40,branch50,10.663279,-113.92762
172.49.183.2,server,multiple,region-40,branch6,12.51635,-112.94321
172.49.188.5,atm,,region-40,branch7,10.729101,-112.328766
172.49.190.43,workstation,office,region-40,branch8,9.465343,-109.2114
172.49.195.2,server,multiple,region-40,branch10,10.356071,-112.26913
172.49.193.28,workstation,office,region-40,branch9,9.489007,-109.76841
172.8.197.193,workstation,teller,region-39,headquarters,32.93673,-122.96206
172.50.64.27,server,multiple,region-41,branch1,9.131595,-137.73853
172.50.69.8,atm,,region-41,branch2,14.667905,-131.99962
172.50.95.43,workstation,office,region-41,branch11,8.501138,-131.42058
172.50.98.29,workstation,office,region-41,branch12,14.234567,-135.07664
172.50.70.2,server,file server,region-41,branch3,12.495273,-137.00493
172.50.129.2,atm,,region-41,branch22,13.451858,-136.19812
172.50.141.9,atm,,region-41,branch26,7.79938,-136.8245
172.50.73.2,server,email,region-41,branch4,11.208869,-134.96117
172.50.159.2,atm,,region-41,branch32,12.538085,-134.30925
172.50.163.40,server,web,region-41,branch34,9.959303,-137.91695
172.50.76.2,server,file server,region-41,branch5,10.963068,-132.10175
172.32.136.27,server,multiple,region-11,branch1,50.68516,-138.47736
172.32.141.4,atm,,region-11,branch2,53.01902,-134.76627
172.32.167.40,workstation,loan,region-11,branch11,54.757603,-140.89899
172.32.170.29,workstation,office,region-11,branch12,51.028637,-136.70042
172.50.199.11,server,web,region-41,branch46,15.827407,-135.91006
172.50.204.2,atm,,region-41,branch47,7.4316773,-135.14136
172.50.79.2,server,web,region-41,branch6,9.1866865,-137.90712
172.32.186.2,atm,,region-11,branch17,54.79066,-139.94556
172.50.83.47,workstation,teller,region-41,branch7,11.0178,-130.46967
172.32.142.2,server,web,region-11,branch3,54.97604,-136.0307
172.50.86.32,workstation,teller,region-41,branch8,13.299477,-137.62488
172.50.214.2,server,file server,region-42,branch1,11.663676,-102.37955
172.32.199.2,server,multiple,region-11,branch22,53.255196,-142.24336
172.50.217.22,server,email,region-42,branch2,9.919825,-101.699585
172.50.246.3,atm,,region-42,branch11,6.622071,-96.17449
172.51.2.33,server,web,region-42,branch15,11.943604,-97.507416
172.32.145.2,server,web,region-11,branch4,54.435596,-135.8549
172.51.16.2,atm,,region-42,branch19,8.730639,-102.3436
172.50.220.2,server,multiple,region-42,branch3,6.031313,-102.0898
172.32.234.2,atm,,region-11,branch33,51.96302,-134.57057
172.51.20.25,server,multiple,region-42,branch21,7.6651096,-98.41682
172.51.31.2,atm,,region-42,branch24,7.2753615,-102.76404
172.32.252.2,atm,,region-11,branch39,54.843693,-135.15079
172.32.148.2,server,file server,region-11,branch5,51.615063,-137.58725
172.33.4.2,atm,,region-11,branch41,52.063683,-141.86801
172.33.10.2,atm,,region-11,branch43,54.492928,-139.33717
172.51.53.28,server,multiple,region-42,branch32,12.9073925,-104.05325
172.51.79.3,atm,,region-42,branch40,6.5163727,-97.015884
172.32.162.6,atm,,region-11,branch9,52.03101,-139.36563
172.50.227.39,workstation,office,region-42,branch5,5.6864533,-98.37505
172.33.35.2,server,multiple,region-12,branch2,59.077034,-113.99586
172.33.33.26,workstation,office,region-12,branch1,63.115932,-116.7029
172.51.86.40,server,multiple,region-42,branch43,12.347969,-103.78485
172.33.68.2,server,web,region-12,branch13,60.15015,-111.829605
172.33.72.43,workstation,office,region-12,branch14,64.06884,-122.56718
172.33.77.2,server,multiple,region-12,branch16,63.853825,-123.65295
172.33.75.29,workstation,loan,region-12,branch15,59.07737,-113.97767
172.50.230.44,workstation,loan,region-42,branch6,5.184082,-103.40638
172.50.233.31,workstation,loan,region-42,branch7,9.207418,-105.12679
172.50.237.2,atm,,region-42,branch8,12.602797,-96.64297
172.33.39.33,workstation,teller,region-12,branch3,64.18932,-116.99758
172.33.98.31,server,web,region-12,branch23,58.76957,-119.00496
172.8.202.186,workstation,office,region-41,headquarters,13.999028,-135.42126
172.33.42.43,workstation,loan,region-12,branch4,57.62658,-114.307396
172.8.206.248,workstation,office,region-42,headquarters,10.843288,-101.548904
172.51.111.44,workstation,office,region-43,branch1,14.366419,-115.53998
172.51.114.29,workstation,loan,region-43,branch2,14.170302,-114.32408
172.33.142.2,atm,,region-12,branch37,62.147984,-121.50567
172.51.151.3,atm,,region-43,branch14,14.8630905,-117.085045
172.51.153.38,workstation,teller,region-43,branch15,15.417986,-113.647484
172.33.45.45,workstation,teller,region-12,branch5,60.131924,-112.878555
172.33.154.2,atm,,region-12,branch41,60.88839,-115.41516
172.51.117.37,workstation,loan,region-43,branch3,15.685031,-116.91155
172.33.166.9,atm,,region-12,branch45,56.02183,-123.87175
172.33.47.2,server,multiple,region-12,branch6,65.63975,-113.006004
172.51.189.19,workstation,office,region-43,branch27,16.760517,-115.20807
172.18.92.2,server,multiple,region-5,branch1,22.566858,-79.83373
172.33.51.48,workstation,teller,region-12,branch7,60.974308,-113.37834
172.18.123.51,workstation,teller,region-5,branch11,23.246077,-79.06296
172.33.56.2,server,multiple,region-12,branch9,58.34727,-112.51827
172.33.54.34,workstation,office,region-12,branch8,58.32301,-115.281204
172.8.121.200,server,web,region-11,headquarters,51.9599,-138.01465
172.19.155.2,atm,,region-5,branch106,16.990145,-82.59047
172.51.214.2,atm,,region-43,branch35,16.725296,-113.46399
172.19.158.2,atm,,region-5,branch107,18.3902,-75.71609
172.19.161.2,atm,,region-5,branch108,17.39121,-74.728
172.18.125.2,server,multiple,region-5,branch12,19.160944,-84.40159
172.51.226.2,atm,,region-43,branch39,16.110838,-114.34033
172.51.230.41,server,web,region-43,branch41,15.759769,-117.79298
172.33.182.2,server,web,region-13,branch1,48.048397,-114.877014
172.33.186.43,workstation,loan,region-13,branch2,46.897945,-117.97371
172.33.213.27,workstation,teller,region-13,branch11,52.569122,-115.605034
172.33.223.10,atm,,region-13,branch14,47.979088,-114.992546
172.18.128.2,server,web,region-5,branch13,19.280787,-82.5436
172.51.253.2,atm,,region-43,branch48,16.002666,-114.72371
172.33.225.43,workstation,loan,region-13,branch15,46.74197,-115.99827
172.52.1.36,workstation,loan,region-43,branch49,14.243437,-117.76261
172.51.136.4,atm,,region-43,branch9,14.878032,-115.11701
172.33.189.45,workstation,loan,region-13,branch3,49.13884,-118.140854
172.52.7.29,workstation,teller,region-44,branch1,8.0042925,-111.91571
172.52.10.18,workstation,loan,region-44,branch2,6.0560327,-114.114685
172.18.131.2,server,web,region-5,branch14,15.594357,-80.460205
172.52.47.3,atm,,region-44,branch14,6.825542,-116.566475
172.34.8.2,atm,,region-13,branch27,41.698536,-117.697044
172.52.49.40,workstation,teller,region-44,branch15,6.9088273,-114.78729
172.33.191.2,server,file server,region-13,branch4,48.919888,-116.954506
172.34.23.2,atm,,region-13,branch32,43.838356,-111.686775
172.52.66.2,server,email,region-44,branch21,5.451728,-115.748436
172.52.13.46,workstation,office,region-44,branch3,5.5802317,-115.39489
172.18.134.2,server,multiple,region-5,branch15,25.386652,-82.43444
172.34.27.40,server,multiple,region-13,branch34,48.120804,-112.14487
172.34.30.28,server,web,region-13,branch35,50.983383,-110.09687
172.34.44.2,atm,,region-13,branch39,47.527092,-110.666405
172.33.194.2,server,file server,region-13,branch5,48.27368,-110.99703
172.52.15.2,server,multiple,region-44,branch4,6.6931543,-116.48674
172.20.27.3,atm,,region-5,branch148,22.993362,-81.67724
172.34.57.2,server,multiple,region-13,branch44,51.000416,-114.195175
172.20.34.38,server,email,region-5,branch151,17.906054,-74.45812
172.52.131.2,atm,,region-44,branch42,7.6995106,-113.3159
172.18.140.2,server,multiple,region-5,branch17,16.649721,-77.724525
172.33.208.2,atm,,region-13,branch9,44.243458,-110.716484
172.34.79.28,workstation,office,region-14,branch1,38.393345,-101.81278
172.52.137.2,atm,,region-44,branch44,7.196157,-117.46108
172.34.116.5,atm,,region-14,branch13,35.265274,-103.36971
172.34.118.38,workstation,loan,region-14,branch14,39.325047,-101.95489
172.52.25.10,workstation,loan,region-44,branch7,8.55328,-116.69018
172.34.134.2,atm,,region-14,branch19,37.22266,-100.9724
172.8.207.2,server,web,region-43,headquarters,16.029287,-117.4096
172.52.156.2,server,multiple,region-45,branch1,19.460648,-112.85982
172.34.164.2,atm,,region-14,branch29,38.499096,-97.42267
172.52.161.4,atm,,region-45,branch2,19.219416,-112.25003
172.52.187.40,workstation,office,region-45,branch11,18.031397,-111.66368
172.52.190.25,workstation,loan,region-45,branch12,20.241085,-111.559875
172.20.141.2,atm,,region-5,branch186,28.954695,-74.310234
172.34.179.2,atm,,region-14,branch34,37.546116,-95.17888
172.52.206.2,atm,,region-45,branch17,20.392748,-110.97048
172.52.209.2,atm,,region-45,branch18,19.476728,-112.64082
172.52.162.2,server,email,region-45,branch3,18.180763,-112.674904
172.34.204.13,server,web,region-14,branch43,37.039543,-103.46786
172.20.170.47,workstation,office,region-5,branch196,22.782507,-75.51182
172.20.180.2,atm,,region-5,branch199,15.69745,-81.17156
172.34.93.2,server,file server,region-14,branch6,38.8196,-99.331055
172.18.163.2,atm,,region-5,branch24,16.810411,-75.6505
172.34.98.9,atm,,region-14,branch7,38.424828,-95.45474
172.34.102.2,server,multiple,region-14,branch9,39.5048,-96.70997
172.34.100.45,workstation,office,region-14,branch8,35.531376,-100.1691
172.53.2.50,workstation,loan,region-45,branch34,19.573196,-112.330475
172.53.8.3,workstation,loan,region-45,branch36,20.47539,-111.7064
172.18.102.34,workstation,teller,region-5,branch4,16.248562,-84.83669
172.8.127.204,workstation,office,region-13,headquarters,42.063084,-111.79977
172.52.170.2,atm,,region-45,branch5,19.330486,-110.50618
172.8.128.50,server,web,region-14,headquarters,37.367577,-100.328125
172.34.228.2,server,multiple,region-15,branch1,27.122421,-99.37682
172.18.204.12,workstation,office,region-5,branch38,21.312634,-80.29712
172.34.233.4,atm,,region-15,branch2,27.797705,-96.47552
172.18.105.39,workstation,office,region-5,branch5,24.268246,-80.53897
172.35.5.40,workstation,teller,region-15,branch11,29.156511,-92.48025
172.35.8.29,workstation,teller,region-15,branch12,25.569485,-93.05157
172.52.172.39,workstation,office,region-45,branch6,20.654137,-111.25211
172.52.175.27,workstation,office,region-45,branch7,18.739609,-111.45148
172.53.52.2,server,multiple,region-46,branch1,16.734518,-124.102615
172.53.56.39,workstation,office,region-46,branch2,16.104647,-122.84087
172.35.33.2,atm,,region-15,branch20,28.924587,-95.38494
172.34.234.2,server,multiple,region-15,branch3,28.764326,-97.184364
172.18.241.2,atm,,region-5,branch50,18.376205,-79.95732
172.18.107.2,server,email,region-5,branch6,21.20076,-79.884575
172.53.93.10,atm,,region-46,branch14,17.311739,-124.31212
172.53.95.46,workstation,office,region-46,branch15,17.912586,-125.238754
172.35.45.2,atm,,region-15,branch24,28.325861,-93.405334
172.53.99.2,atm,,region-46,branch16,16.873222,-124.61338
172.53.59.46,workstation,loan,region-46,branch3,17.100086,-119.298935
172.18.110.2,server,multiple,region-5,branch7,27.83278,-81.30985
172.35.64.27,server,compute,region-15,branch31,25.21785,-93.320915
172.19.26.2,atm,,region-5,branch63,20.242876,-82.87419
172.53.132.2,atm,,region-46,branch27,16.379059,-122.929436
172.53.135.2,atm,,region-46,branch28,16.959454,-121.67574
172.35.82.30,server,web,region-15,branch37,30.72845,-98.48231
172.53.61.2,server,email,region-46,branch4,17.070187,-119.09851
172.34.240.2,server,multiple,region-15,branch5,30.491539,-96.24048
172.18.114.28,workstation,office,region-5,branch8,18.307457,-81.92822
172.53.150.2,atm,,region-46,branch33,17.809477,-120.234184
172.35.102.2,atm,,region-15,branch43,25.755318,-95.33705
172.19.59.9,atm,,region-5,branch74,21.662989,-79.3437
172.19.68.2,atm,,region-5,branch77,21.411606,-77.3477
172.35.111.2,atm,,region-15,branch46,27.775616,-96.920685
172.53.64.2,server,web,region-46,branch5,17.152092,-122.322914
172.18.117.46,workstation,office,region-5,branch9,19.914713,-79.20182
172.34.244.41,workstation,loan,region-15,branch6,29.621614,-97.501526
172.19.83.2,atm,,region-5,branch82,26.192755,-80.62852
172.34.249.2,server,multiple,region-15,branch8,31.8326,-101.27897
172.34.247.28,workstation,teller,region-15,branch7,28.493341,-98.21921
172.53.189.9,atm,,region-46,branch46,17.432043,-125.273445
172.35.124.2,server,email,region-16,branch1,19.993439,-89.69818
