businessunit,healthtime,a1,a2,a3,a4,a5,p1,p2,p3,p4,p5
2012-02-02 21:30:00,region-1,27578,25,621,163,170,23068,4953,495,39,2
2012-02-02 21:45:00,region-1,27604,26,605,162,160,22970,5027,518,40,2
2012-02-02 22:00:00,region-1,27618,23,598,169,147,22863,5110,538,42,2
2012-02-02 22:15:00,region-1,27543,23,657,157,167,22759,5179,559,48,2
2012-02-02 22:30:00,region-1,27522,34,666,173,157,22686,5239,575,50,2
2012-02-02 22:45:00,region-1,27599,17,575,170,181,22586,5301,601,52,2
2012-02-02 23:00:00,region-1,27571,28,640,146,161,22509,5363,618,53,3
2012-02-02 23:15:00,region-1,27549,17,650,165,161,22405,5446,632,56,3
2012-02-02 23:30:00,region-1,27577,28,614,180,155,22313,5534,646,58,3
2012-02-02 23:45:00,region-1,27554,30,654,167,148,22239,5584,663,64,3
2012-02-03 00:00:00,region-1,27592,21,613,161,157,22143,5655,673,68,5
2012-02-03 00:15:00,region-1,27624,23,598,158,139,22055,5726,686,69,6
2012-02-03 00:30:00,region-1,27599,21,596,179,151,21975,5777,716,72,6
2012-02-03 00:45:00,region-1,27520,21,666,165,182,21878,5850,743,75,8
2012-02-03 01:00:00,region-1,27574,16,644,165,166,21791,5922,767,77,8
2012-02-03 01:15:00,region-1,27601,18,604,170,170,21708,5977,789,81,8
2012-02-03 01:30:00,region-1,27560,20,652,184,148,21634,6030,807,84,9
2012-02-03 01:45:00,region-1,27583,21,618,168,173,21543,6098,822,91,9
2012-02-03 02:00:00,region-1,27764,17,527,117,137,21460,6153,847,93,9
2012-02-03 02:15:00,region-1,27669,19,590,140,146,21368,6224,864,98,10
2012-02-03 02:30:00,region-1,27678,17,564,170,133,21288,6276,887,101,10
2012-02-03 02:45:00,region-1,27666,27,560,160,152,21211,6341,898,105,10
2012-02-03 03:00:00,region-1,28530,26,0,0,0,21128,6384,927,107,10
2012-02-03 03:15:00,region-1,28529,24,0,0,0,21039,6437,958,108,11
2012-02-03 03:30:00,region-1,28530,23,0,0,0,20975,6476,982,109,11
2012-02-03 03:45:00,region-1,28536,20,0,0,0,20907,6525,1001,112,11
2012-02-03 04:00:00,region-1,28536,23,0,0,0,20838,6569,1021,120,11
2012-02-03 04:15:00,region-1,28523,29,0,0,0,20739,6633,1043,126,11
2012-02-03 04:30:00,region-1,28526,25,0,0,0,20658,6687,1067,128,11
2012-02-03 04:45:00,region-1,28527,23,0,0,0,20595,6730,1085,129,11
2012-02-03 05:00:00,region-1,28520,26,0,0,0,20523,6772,1104,136,11
2012-02-03 05:15:00,region-1,28524,20,0,0,0,20435,6823,1135,139,12
2012-02-03 05:30:00,region-1,28534,21,0,0,0,20361,6885,1156,140,13
2012-02-03 05:45:00,region-1,28535,24,0,0,0,20290,6925,1185,146,13
2012-02-03 06:00:00,region-1,28539,20,0,0,0,20226,6969,1201,150,13
2012-02-03 06:15:00,region-1,28519,34,0,0,0,20162,7003,1221,153,14
2012-02-03 06:30:00,region-1,28523,26,0,0,0,20056,7078,1241,159,15
2012-02-03 06:45:00,region-1,28522,22,0,0,0,19970,7126,1265,165,18
2012-02-03 07:00:00,region-1,28533,15,0,0,0,19888,7181,1293,168,18
2012-02-03 07:15:00,region-1,28535,20,0,0,0,19815,7240,1306,176,18
2012-02-03 07:30:00,region-1,28547,20,0,0,0,19751,7287,1333,178,18
2012-02-03 07:45:00,region-1,28542,24,0,0,0,19681,7332,1352,182,19
2012-02-03 08:00:00,region-1,28525,34,0,0,0,19597,7382,1377,183,20
2012-02-03 08:15:00,region-1,28524,20,0,0,0,19508,7425,1402,189,20
2012-02-03 08:30:00,region-1,28534,18,0,0,0,19429,7482,1426,194,21
2012-02-03 08:45:00,region-1,28537,17,0,0,0,19343,7538,1448,203,22
2012-02-03 09:00:00,region-1,28534,26,0,0,0,19281,7588,1463,205,23
2012-02-03 09:15:00,region-1,28535,22,0,0,0,19201,7634,1487,212,23
2012-02-03 09:30:00,region-1,28537,21,0,0,0,19114,7682,1522,216,24
2012-02-03 09:45:00,region-1,28536,19,0,0,0,19045,7727,1538,221,24
2012-02-03 10:00:00,region-1,28534,20,0,0,0,18964,7764,1575,225,26
2012-02-03 10:15:00,region-1,28533,25,0,0,0,18887,7823,1593,226,29
2012-02-03 10:30:00,region-1,28537,18,0,0,0,18808,7873,1616,228,30
2012-02-03 10:45:00,region-1,28535,22,0,0,0,18729,7924,1639,233,32
2012-02-03 11:00:00,region-1,28532,23,0,0,0,18649,7972,1662,239,33
2012-02-03 11:15:00,region-1,28543,17,0,0,0,18584,8010,1683,247,36
2012-02-03 11:30:00,region-1,28549,20,0,0,0,18522,8049,1711,250,37
2012-02-03 11:45:00,region-1,28542,19,0,0,0,18443,8094,1729,256,39
2012-02-03 12:00:00,region-1,28547,19,0,0,0,18376,8128,1762,259,41
2012-02-03 12:15:00,region-1,28546,21,0,0,0,18315,8162,1784,262,44
2012-02-03 12:30:00,region-1,28541,27,0,0,0,18249,8195,1813,266,45
2012-02-03 12:45:00,region-1,28539,17,0,0,0,18171,8226,1841,270,48
2012-02-03 13:00:00,region-1,28531,26,0,0,0,18087,8268,1875,276,51
2012-02-03 13:15:00,region-1,28530,20,0,0,0,18008,8309,1899,282,52
2012-02-03 13:30:00,region-1,28546,20,0,0,0,17945,8352,1930,286,53
2012-02-03 13:45:00,region-1,28554,13,0,0,0,17867,8403,1951,292,54
2012-02-03 14:00:00,region-1,28551,21,0,0,0,17796,8447,1972,301,56
2012-02-03 14:15:00,region-1,28539,31,0,0,0,17745,8465,1993,310,57
2012-02-03 14:30:00,region-1,28520,33,0,0,0,17649,8516,2014,315,59
2012-02-03 14:45:00,region-1,28519,17,0,0,0,17560,8558,2036,322,60
2012-02-03 15:00:00,region-1,28419,24,69,13,21,17500,8591,2066,323,66
2012-02-03 15:15:00,region-1,28411,28,74,18,19,17440,8617,2093,331,69
2012-02-03 15:30:00,region-1,28416,25,72,18,24,17374,8654,2120,336,71
2012-02-03 15:45:00,region-1,28417,21,68,31,16,17302,8687,2149,343,72
2012-02-03 16:00:00,region-1,27646,17,610,170,118,17241,8721,2174,352,73
2012-02-03 16:15:00,region-1,27518,22,671,171,178,17182,8751,2188,364,75
2012-02-03 16:30:00,region-1,27562,26,642,171,158,17113,8788,2207,375,76
2012-02-03 16:45:00,region-1,27562,23,641,171,156,17040,8828,2226,380,79
2012-02-03 17:00:00,region-1,27536,23,668,163,159,16974,8859,2249,385,82
2012-02-03 17:15:00,region-1,27606,25,630,147,150,16923,8891,2270,391,83
2012-02-03 17:30:00,region-1,27538,25,653,181,154,16852,8930,2280,403,86
2012-02-03 17:45:00,region-1,27539,23,647,161,181,16798,8953,2300,413,87
2012-02-03 18:00:00,region-1,27481,15,698,182,174,16725,8992,2320,426,87
2012-02-03 18:15:00,region-1,27582,21,625,158,172,16675,9019,2338,437,89
2012-02-03 18:30:00,region-1,27557,22,640,183,157,16603,9048,2376,442,90
2012-02-03 18:45:00,region-1,27612,26,619,155,150,16549,9072,2393,456,92
2012-02-03 19:00:00,region-1,27536,17,663,167,171,16496,9077,2425,462,94
2012-02-03 19:15:00,region-1,27580,16,621,155,180,16432,9112,2444,469,95
2012-02-03 19:30:00,region-1,27585,20,609,166,175,16354,9167,2460,476,98
2012-02-03 19:45:00,region-1,27541,25,669,153,172,16288,9196,2494,483,99
2012-02-03 20:00:00,region-1,27553,25,651,162,165,16222,9218,2525,488,103
2012-02-03 20:15:00,region-1,27615,25,594,171,156,16162,9242,2556,494,107
2012-02-03 20:30:00,region-1,27555,24,629,175,177,16109,9263,2574,506,108
2012-02-03 20:45:00,region-1,27596,20,623,156,160,16033,9296,2602,516,108
2012-02-03 21:00:00,region-1,27546,24,653,171,165,15964,9332,2622,530,111
2012-02-03 21:15:00,region-1,27538,21,681,148,166,15899,9357,2648,539,111
2012-02-03 21:30:00,region-1,27593,27,608,151,181,15852,9381,2669,546,112
2012-02-03 21:45:00,region-1,27569,22,643,157,164,15780,9416,2690,557,112
2012-02-03 22:00:00,region-1,27533,32,655,164,170,15717,9446,2706,566,119
2012-02-03 22:15:00,region-1,27527,17,645,170,183,15646,9469,2733,575,119
2012-02-03 22:30:00,region-1,27582,35,615,154,165,15595,9489,2763,580,124
2012-02-03 22:45:00,region-1,27544,18,659,154,173,15556,9485,2792,589,126
2012-02-03 23:00:00,region-1,27545,29,639,184,157,15497,9525,2809,592,131
2012-02-03 23:15:00,region-1,27518,19,676,174,159,15433,9540,2840,599,134
2012-02-03 23:30:00,region-1,27649,19,572,146,165,15370,9563,2867,612,139
2012-02-03 23:45:00,region-1,27560,10,661,165,156,15312,9588,2891,618,143
2012-02-04 00:00:00,region-1,27624,27,605,162,151,15267,9614,2911,629,148
2012-02-04 00:15:00,region-1,27589,24,626,158,167,15212,9636,2930,638,148
2012-02-04 00:30:00,region-1,27527,27,675,174,155,15163,9641,2952,651,151
2012-02-04 00:45:00,region-1,27598,22,608,160,157,15108,9638,2988,656,155
2012-02-04 01:00:00,region-1,27598,25,620,147,159,15053,9665,3005,669,157
2012-02-04 01:15:00,region-1,27517,24,664,184,159,15004,9675,3030,679,160
2012-02-04 01:30:00,region-1,27637,18,619,145,133,14950,9703,3048,686,165
2012-02-04 01:45:00,region-1,27555,22,664,160,160,14895,9726,3067,705,168
2012-02-04 02:00:00,region-1,27710,19,549,148,125,14840,9725,3102,713,171
2012-02-04 02:15:00,region-1,27697,16,581,135,125,14780,9733,3147,721,173
2012-02-04 02:30:00,region-1,27703,23,558,140,141,14738,9741,3174,735,177
2012-02-04 02:45:00,region-1,27695,18,532,167,144,14687,9754,3192,742,181
2012-02-04 03:00:00,region-1,28534,23,0,0,0,14632,9770,3222,747,186
2012-02-04 03:15:00,region-1,28530,21,0,0,0,14569,9796,3239,756,191
2012-02-04 03:30:00,region-1,28531,26,0,0,0,14508,9811,3277,768,193
2012-02-04 03:45:00,region-1,28531,25,0,0,0,14452,9850,3274,783,197
2012-02-04 04:00:00,region-1,28528,24,0,0,0,14392,9870,3294,796,200
2012-02-04 04:15:00,region-1,28513,31,0,0,0,14329,9894,3314,806,201
2012-02-04 04:30:00,region-1,28508,25,0,0,0,14272,9909,3331,815,206
2012-02-04 04:45:00,region-1,28511,27,0,0,0,14211,9935,3351,834,207
2012-02-04 05:00:00,region-1,28527,20,0,0,0,14155,9960,3382,841,209
2012-02-04 05:15:00,region-1,28527,22,0,0,0,14112,9971,3412,842,212
2012-02-04 05:30:00,region-1,28538,18,0,0,0,14055,9998,3442,845,216
2012-02-04 05:45:00,region-1,28537,18,0,0,0,14004,10002,3474,856,219
2012-02-04 06:00:00,region-1,28533,24,0,0,0,13948,10035,3488,861,225
2012-02-04 06:15:00,region-1,28533,19,0,0,0,13893,10043,3506,882,228
2012-02-04 06:30:00,region-1,28549,20,0,0,0,13842,10069,3536,891,231
2012-02-04 06:45:00,region-1,28538,27,0,0,0,13783,10090,3562,896,234
2012-02-04 07:00:00,region-1,28535,18,0,0,0,13727,10093,3583,910,240
2012-02-04 07:15:00,region-1,28543,18,0,0,0,13669,10109,3621,916,246
2012-02-04 07:30:00,region-1,28546,16,0,0,0,13623,10112,3650,926,251
2012-02-04 07:45:00,region-1,28537,24,0,0,0,13566,10133,3668,933,261
2012-02-04 08:00:00,region-1,28538,27,0,0,0,13507,10150,3696,947,265
2012-02-02 08:15:00,region-2,28509,23,0,0,0,28417,115,0,0,0
2012-02-02 08:30:00,region-2,28488,21,0,0,0,28294,214,1,0,0
2012-02-02 08:45:00,region-2,28475,22,0,0,0,28184,312,1,0,0
2012-02-02 09:00:00,region-2,28455,31,0,0,0,28051,432,3,0,0
2012-02-02 09:15:00,region-2,28444,22,0,0,0,27932,531,3,0,0
2012-02-02 09:30:00,region-2,28447,24,0,0,0,27835,632,4,0,0
2012-02-02 09:45:00,region-2,28449,23,0,0,0,27723,742,7,0,0
2012-02-02 10:00:00,region-2,28453,23,0,0,0,27599,870,7,0,0
2012-02-02 10:15:00,region-2,28469,16,0,0,0,27509,967,9,0,0
2012-02-02 10:30:00,region-2,28456,26,0,0,0,27394,1076,12,0,0
2012-02-02 10:45:00,region-2,28460,17,0,0,0,27271,1191,15,0,0
2012-02-02 11:00:00,region-2,28457,22,0,0,0,27163,1298,18,0,0
2012-02-02 11:15:00,region-2,28452,25,0,0,0,27049,1405,23,0,0
2012-02-02 11:30:00,region-2,28458,15,0,0,0,26940,1501,32,0,0
2012-02-02 11:45:00,region-2,28452,28,0,0,0,26854,1589,36,1,0
2012-02-02 12:00:00,region-2,28448,21,0,0,0,26745,1684,39,1,0
2012-02-02 12:15:00,region-2,28449,24,0,0,0,26636,1790,46,1,0
2012-02-02 12:30:00,region-2,28445,24,0,0,0,26539,1875,54,1,0
2012-02-02 12:45:00,region-2,28443,20,0,0,0,26428,1971,63,1,0
2012-02-02 13:00:00,region-2,28453,18,0,0,0,26334,2067,69,1,0
2012-02-02 13:15:00,region-2,28455,23,0,0,0,26236,2164,76,2,0
2012-02-02 13:30:00,region-2,28464,24,0,0,0,26140,2266,80,2,0
2012-02-02 13:45:00,region-2,28456,26,0,0,0,26034,2359,87,2,0
2012-02-02 14:00:00,region-2,28451,23,0,0,0,25931,2448,93,2,0
2012-02-02 14:15:00,region-2,28444,27,0,0,0,25842,2521,105,3,0
2012-02-02 14:30:00,region-2,28456,17,0,0,0,25742,2611,115,5,0
2012-02-02 14:45:00,region-2,28446,31,0,0,0,25638,2708,124,7,0
2012-02-02 15:00:00,region-2,28435,34,0,0,0,25516,2814,132,7,0
2012-02-02 15:15:00,region-2,28445,15,0,0,0,25411,2895,147,7,0
2012-02-02 15:30:00,region-2,28445,24,0,0,0,25325,2979,158,7,0
2012-02-02 15:45:00,region-2,28456,20,0,0,0,25227,3078,164,7,0
2012-02-02 16:00:00,region-2,27541,22,589,150,176,25136,3158,176,8,0
2012-02-02 16:15:00,region-2,27627,16,549,145,144,25043,3237,192,9,0
2012-02-02 16:30:00,region-2,27659,20,534,143,130,24949,3323,204,10,0
2012-02-02 16:45:00,region-2,27652,15,528,145,151,24865,3400,216,10,0
2012-02-02 17:00:00,region-2,27543,26,630,136,152,24767,3472,236,12,0
2012-02-02 17:15:00,region-2,27479,26,648,170,162,24655,3575,243,12,0
2012-02-02 17:30:00,region-2,27480,23,633,165,177,24559,3647,259,13,0
2012-02-02 17:45:00,region-2,27489,22,630,183,147,24451,3738,268,14,0
2012-02-02 18:00:00,region-2,27498,20,649,165,141,24356,3819,284,13,1
2012-02-02 18:15:00,region-2,27513,25,623,167,148,24253,3914,293,15,1
2012-02-02 18:30:00,region-2,27523,16,644,143,156,24162,4003,300,16,1
2012-02-02 18:45:00,region-2,27551,22,619,159,133,24041,4107,317,18,1
2012-02-02 19:00:00,region-2,27501,24,611,178,172,23930,4200,337,18,1
2012-02-02 19:15:00,region-2,27505,22,616,163,179,23844,4272,349,19,1
2012-02-02 19:30:00,region-2,27485,21,642,174,154,23745,4340,370,20,1
2012-02-02 19:45:00,region-2,27492,24,634,172,160,23668,4404,386,23,1
2012-02-02 20:00:00,region-2,27520,23,635,156,149,23566,4484,408,24,1
2012-02-02 20:15:00,region-2,27496,25,633,164,159,23471,4552,429,24,1
2012-02-02 20:30:00,region-2,27522,18,623,157,153,23374,4631,440,27,1
2012-02-02 20:45:00,region-2,27488,22,645,165,160,23278,4717,453,30,2
2012-02-02 21:00:00,region-2,27525,13,617,163,161,23200,4770,474,33,2
2012-02-02 21:15:00,region-2,27520,21,647,152,145,23107,4854,489,33,2
2012-02-02 21:30:00,region-2,27470,24,647,175,169,23006,4932,511,34,2
2012-02-02 21:45:00,region-2,27544,24,591,170,157,22911,5006,532,35,2
2012-02-02 22:00:00,region-2,27521,18,631,165,145,22813,5073,555,37,2
2012-02-02 22:15:00,region-2,27489,22,647,165,154,22714,5140,578,43,2
2012-02-02 22:30:00,region-2,27487,38,628,177,151,22643,5201,591,44,2
2012-02-02 22:45:00,region-2,27496,19,595,171,184,22541,5255,622,45,2
2012-02-02 23:00:00,region-2,27465,29,664,148,161,22455,5327,637,45,3
2012-02-02 23:15:00,region-2,27455,22,637,173,175,22365,5392,655,47,3
2012-02-02 23:30:00,region-2,27534,30,579,162,160,22261,5478,672,51,3
2012-02-02 23:45:00,region-2,27478,29,644,154,160,22193,5528,684,57,3
2012-02-03 00:00:00,region-2,27474,24,627,170,166,22094,5607,696,60,4
2012-02-03 00:15:00,region-2,27531,23,594,163,146,22012,5673,706,61,5
2012-02-03 00:30:00,region-2,27501,19,621,173,153,21931,5731,738,62,5
2012-02-03 00:45:00,region-2,27443,14,667,160,191,21837,5803,767,62,6
2012-02-03 01:00:00,region-2,27516,16,627,166,169,21753,5882,788,65,6
2012-02-03 01:15:00,region-2,27565,14,564,167,180,21669,5942,804,69,6
2012-02-03 01:30:00,region-2,27523,19,634,164,156,21609,5984,826,71,6
2012-02-03 01:45:00,region-2,27512,20,645,157,159,21517,6048,844,78,6
2012-02-03 02:00:00,region-2,27553,19,610,144,162,21427,6105,869,81,6
2012-02-03 02:15:00,region-2,27473,21,649,162,180,21329,6176,889,83,8
2012-02-03 02:30:00,region-2,27469,19,646,190,160,21245,6237,906,88,8
2012-02-03 02:45:00,region-2,27500,25,619,169,170,21166,6292,925,92,8
2012-02-03 03:00:00,region-2,28354,22,74,16,14,21084,6338,958,92,8
2012-02-03 03:15:00,region-2,28341,25,72,24,17,20997,6401,977,95,9
2012-02-03 03:30:00,region-2,28346,21,69,25,14,20922,6447,1000,97,9
2012-02-03 03:45:00,region-2,28347,26,73,13,19,20859,6492,1020,98,9
2012-02-03 04:00:00,region-2,28453,23,0,0,0,20784,6537,1040,106,9
2012-02-03 04:15:00,region-2,28446,27,0,0,0,20677,6606,1072,109,9
2012-02-03 04:30:00,region-2,28441,33,0,0,0,20607,6654,1094,110,9
2012-02-03 04:45:00,region-2,28441,21,0,0,0,20522,6707,1111,113,9
2012-02-03 05:00:00,region-2,28448,16,0,0,0,20450,6755,1131,119,9
2012-02-03 05:15:00,region-2,28449,21,0,0,0,20373,6815,1148,125,9
2012-02-03 05:30:00,region-2,28457,20,0,0,0,20292,6876,1173,126,10
2012-02-03 05:45:00,region-2,28461,20,0,0,0,20217,6922,1204,128,10
2012-02-03 06:00:00,region-2,28463,19,0,0,0,20148,6970,1222,132,10
2012-02-03 06:15:00,region-2,28440,38,0,0,0,20077,7012,1245,134,10
2012-02-03 06:30:00,region-2,28449,22,0,0,0,19973,7084,1263,139,12
2012-02-03 06:45:00,region-2,28443,21,0,0,0,19887,7131,1288,145,13
2012-02-03 07:00:00,region-2,28453,18,0,0,0,19804,7191,1315,148,13
2012-02-03 07:15:00,region-2,28453,19,0,0,0,19729,7248,1326,156,13
2012-02-03 07:30:00,region-2,28468,18,0,0,0,19662,7295,1356,160,13
2012-02-03 07:45:00,region-2,28466,23,0,0,0,19598,7337,1377,163,14
2012-02-03 08:00:00,region-2,28455,26,0,0,0,19520,7384,1396,165,16
2012-02-03 08:15:00,region-2,28445,26,0,0,0,19444,7424,1415,172,16
2012-02-03 08:30:00,region-2,28454,18,0,0,0,19352,7487,1443,173,17
2012-02-03 08:45:00,region-2,28458,20,0,0,0,19279,7537,1466,178,18
2012-02-03 09:00:00,region-2,28457,23,0,0,0,19221,7576,1483,182,18
2012-02-03 09:15:00,region-2,28459,21,0,0,0,19137,7631,1503,191,18
2012-02-03 09:30:00,region-2,28469,21,0,0,0,19053,7684,1537,197,19
2012-02-03 09:45:00,region-2,28464,20,0,0,0,18978,7733,1553,201,19
2012-02-03 10:00:00,region-2,28455,21,0,0,0,18899,7770,1579,208,20
2012-02-03 10:15:00,region-2,28449,27,0,0,0,18819,7827,1600,209,21
2012-02-03 10:30:00,region-2,28458,15,0,0,0,18742,7883,1615,212,21
2012-02-03 10:45:00,region-2,28456,23,0,0,0,18668,7931,1640,217,23
2012-02-03 11:00:00,region-2,28459,26,0,0,0,18598,7979,1662,222,24
2012-02-03 11:15:00,region-2,28461,19,0,0,0,18539,8001,1684,229,27
2012-02-03 11:30:00,region-2,28459,23,0,0,0,18470,8037,1714,234,27
2012-02-03 11:45:00,region-2,28454,20,0,0,0,18390,8080,1733,243,28
2012-02-03 12:00:00,region-2,28467,17,0,0,0,18327,8120,1760,246,31
2012-02-03 12:15:00,region-2,28470,20,0,0,0,18262,8164,1781,250,33
2012-02-03 12:30:00,region-2,28464,25,0,0,0,18201,8196,1802,256,34
2012-02-03 12:45:00,region-2,28457,20,0,0,0,18122,8229,1830,260,36
2012-02-03 13:00:00,region-2,28455,24,0,0,0,18052,8265,1854,270,38
2012-02-03 13:15:00,region-2,28455,20,0,0,0,17969,8314,1876,277,39
2012-02-03 13:30:00,region-2,28472,16,0,0,0,17899,8358,1909,282,40
2012-02-03 13:45:00,region-2,28476,15,0,0,0,17831,8393,1939,287,41
2012-02-03 14:00:00,region-2,28475,17,0,0,0,17756,8441,1955,296,44
2012-02-03 14:15:00,region-2,28473,27,0,0,0,17715,8462,1973,306,44
2012-02-03 14:30:00,region-2,28448,35,0,0,0,17631,8499,1999,308,46
2012-02-03 14:45:00,region-2,28451,16,0,0,0,17541,8541,2020,319,46
2012-02-03 15:00:00,region-2,28455,21,0,0,0,17486,8571,2051,318,50
2012-02-03 15:15:00,region-2,28455,21,0,0,0,17421,8591,2085,326,53
2012-02-03 15:30:00,region-2,28450,29,0,0,0,17344,8631,2118,331,55
2012-02-03 15:45:00,region-2,28448,25,0,0,0,17275,8665,2139,337,57
2012-02-03 16:00:00,region-2,27636,16,572,155,97,17188,8711,2170,349,58
2012-02-03 16:15:00,region-2,27592,20,573,151,144,17116,8758,2186,359,61
2012-02-03 16:30:00,region-2,27603,29,560,152,136,17041,8805,2206,366,62
2012-02-03 16:45:00,region-2,27611,24,563,141,130,16967,8840,2228,369,65
2012-02-03 17:00:00,region-2,27454,20,674,163,158,16910,8861,2251,380,67
2012-02-03 17:15:00,region-2,27566,25,612,132,145,16864,8889,2271,388,68
2012-02-03 17:30:00,region-2,27492,28,626,182,149,16798,8917,2293,398,71
2012-02-03 17:45:00,region-2,27493,25,618,168,167,16739,8934,2316,409,73
2012-02-03 18:00:00,region-2,27418,16,690,166,178,16658,8967,2353,416,74
2012-02-03 18:15:00,region-2,27504,19,620,161,174,16609,8998,2369,424,78
2012-02-03 18:30:00,region-2,27483,20,636,193,150,16544,9031,2397,431,79
2012-02-03 18:45:00,region-2,27572,25,598,151,138,16483,9065,2412,443,81
2012-02-03 19:00:00,region-2,27475,14,639,166,180,16422,9076,2445,449,82
2012-02-03 19:15:00,region-2,27514,19,614,153,175,16354,9116,2465,455,85
2012-02-03 19:30:00,region-2,27496,28,621,167,167,16289,9158,2484,462,86
2012-02-03 19:45:00,region-2,27457,25,683,157,148,16220,9176,2519,469,86
2012-02-03 20:00:00,region-2,27449,28,653,169,170,16156,9200,2549,474,90
2012-02-03 20:15:00,region-2,27502,24,628,162,158,16097,9224,2575,483,95
2012-02-03 20:30:00,region-2,27455,18,650,186,169,16048,9247,2589,497,97
2012-02-03 20:45:00,region-2,27527,16,629,141,170,15970,9288,2620,508,97
2012-02-03 21:00:00,region-2,27454,22,650,177,188,15899,9327,2643,523,99
2012-02-03 21:15:00,region-2,27465,22,667,149,181,15835,9356,2661,533,99
2012-02-03 21:30:00,region-2,27499,22,614,161,185,15782,9377,2679,541,102
2012-02-03 21:45:00,region-2,27476,28,650,169,157,15713,9410,2700,555,102
