healthtime,businessunit,policystatus,ipaddrcount
2012-02-03 01:45:00,headquarters,2,54829
2012-02-03 02:00:00,headquarters,2,55366
2012-02-03 02:15:00,headquarters,2,55953
2012-02-03 02:30:00,headquarters,2,56507
2012-02-03 02:45:00,headquarters,2,57024
2012-02-03 03:00:00,headquarters,2,57488
2012-02-03 03:15:00,headquarters,2,57956
2012-02-03 03:30:00,headquarters,2,58560
2012-02-03 03:45:00,headquarters,2,59063
2012-02-03 04:00:00,headquarters,2,59602
2012-02-03 04:15:00,headquarters,2,60056
2012-02-03 04:30:00,headquarters,2,60554
2012-02-03 04:45:00,headquarters,2,61014
2012-02-03 05:00:00,headquarters,2,61520
2012-02-03 05:15:00,headquarters,2,61975
2012-02-03 05:30:00,headquarters,2,62456
2012-02-03 05:45:00,headquarters,2,62939
2012-02-03 06:00:00,headquarters,2,63399
2012-02-03 06:15:00,headquarters,2,63898
2012-02-03 06:30:00,headquarters,2,64319
2012-02-03 06:45:00,headquarters,2,64791
2012-02-03 07:00:00,headquarters,2,65246
2012-02-03 07:15:00,headquarters,2,65659
2012-02-03 07:30:00,headquarters,2,66167
2012-02-03 07:45:00,headquarters,2,66605
2012-02-03 08:00:00,headquarters,2,67060
2012-02-03 08:15:00,headquarters,2,67448
2012-02-03 08:30:00,headquarters,2,67857
2012-02-03 08:45:00,headquarters,2,68257
2012-02-03 09:00:00,headquarters,2,68710
2012-02-03 09:15:00,headquarters,2,69064
2012-02-03 09:30:00,headquarters,2,69425
2012-02-03 09:45:00,headquarters,2,69832
2012-02-03 10:00:00,headquarters,2,70228
2012-02-03 10:15:00,headquarters,2,70577
2012-02-03 10:30:00,headquarters,2,70941
2012-02-03 10:45:00,headquarters,2,71317
2012-02-03 11:00:00,headquarters,2,73432
2012-02-03 11:15:00,headquarters,2,73770
2012-02-03 11:30:00,headquarters,2,74167
2012-02-03 11:45:00,headquarters,2,74473
2012-02-03 12:00:00,headquarters,2,74878
2012-02-03 12:15:00,headquarters,2,75257
2012-02-03 12:30:00,headquarters,2,75619
2012-02-03 12:45:00,headquarters,2,75980
2012-02-03 13:00:00,headquarters,2,76314
2012-02-03 13:15:00,headquarters,2,76696
2012-02-03 13:30:00,headquarters,2,77092
2012-02-03 13:45:00,headquarters,2,77444
2012-02-03 14:00:00,headquarters,2,77825
2012-02-03 14:15:00,headquarters,2,78160
2012-02-03 14:30:00,headquarters,2,78509
2012-02-03 14:45:00,headquarters,2,78831
2012-02-03 15:00:00,headquarters,2,79163
2012-02-03 15:15:00,headquarters,2,79487
2012-02-03 15:30:00,headquarters,2,79851
2012-02-03 15:45:00,headquarters,2,80203
2012-02-03 16:00:00,headquarters,2,80524
2012-02-03 16:15:00,headquarters,2,80798
2012-02-03 16:30:00,headquarters,2,81034
2012-02-03 16:45:00,headquarters,2,81348
2012-02-03 17:00:00,headquarters,2,81593
2012-02-03 17:15:00,headquarters,2,81874
2012-02-03 17:30:00,headquarters,2,82102
2012-02-03 17:45:00,headquarters,2,82379
2012-02-03 18:00:00,headquarters,2,82667
2012-02-03 18:15:00,headquarters,2,83015
2012-02-03 18:30:00,headquarters,2,83275
2012-02-03 18:45:00,headquarters,2,83573
2012-02-03 19:00:00,headquarters,2,83818
2012-02-03 19:15:00,headquarters,2,84063
2012-02-03 19:30:00,headquarters,2,84306
2012-02-03 19:45:00,headquarters,2,84548
2012-02-03 20:00:00,headquarters,2,84830
2012-02-03 20:15:00,headquarters,2,85046
2012-02-03 20:30:00,headquarters,2,85270
2012-02-03 20:45:00,headquarters,2,85553
2012-02-03 21:00:00,headquarters,2,85825
2012-02-03 21:15:00,headquarters,2,86091
2012-02-03 21:30:00,headquarters,2,86357
2012-02-03 21:45:00,headquarters,2,86616
2012-02-03 22:00:00,headquarters,2,84805
2012-02-03 22:15:00,headquarters,2,85055
2012-02-03 22:30:00,headquarters,2,85243
2012-02-03 22:45:00,headquarters,2,85368
2012-02-03 23:00:00,headquarters,2,85560
2012-02-03 23:15:00,headquarters,2,85801
2012-02-03 23:30:00,headquarters,2,86041
2012-02-03 23:45:00,headquarters,2,86195
2012-02-04 00:00:00,headquarters,2,86371
2012-02-04 00:15:00,headquarters,2,86591
2012-02-04 00:30:00,headquarters,2,86780
2012-02-04 00:45:00,headquarters,2,86974
2012-02-04 01:00:00,headquarters,2,87151
2012-02-04 01:15:00,headquarters,2,87300
2012-02-04 01:30:00,headquarters,2,87483
2012-02-04 01:45:00,headquarters,2,87648
2012-02-04 02:00:00,headquarters,2,87877
2012-02-04 02:15:00,headquarters,2,87985
2012-02-04 02:30:00,headquarters,2,88094
2012-02-04 02:45:00,headquarters,2,88240
2012-02-04 03:00:00,headquarters,2,88421
2012-02-04 03:15:00,headquarters,2,88551
2012-02-04 03:30:00,headquarters,2,88726
2012-02-04 03:45:00,headquarters,2,88846
2012-02-04 04:00:00,headquarters,2,89035
2012-02-04 04:15:00,headquarters,2,89200
2012-02-04 04:30:00,headquarters,2,89345
2012-02-04 04:45:00,headquarters,2,89454
2012-02-04 05:00:00,headquarters,2,89593
2012-02-04 05:15:00,headquarters,2,89732
2012-02-04 05:30:00,headquarters,2,89883
2012-02-04 05:45:00,headquarters,2,89968
2012-02-04 06:00:00,headquarters,2,90121
2012-02-04 06:15:00,headquarters,2,90233
2012-02-04 06:30:00,headquarters,2,90318
2012-02-04 06:45:00,headquarters,2,90478
2012-02-04 07:00:00,headquarters,2,90579
2012-02-04 07:15:00,headquarters,2,90728
2012-02-04 07:30:00,headquarters,2,90842
2012-02-04 07:45:00,headquarters,2,90994
2012-02-04 08:00:00,headquarters,2,91026
2012-02-02 08:15:00,region-1,2,132
2012-02-02 08:30:00,region-1,2,262
2012-02-02 08:45:00,region-1,2,400
2012-02-02 09:00:00,region-1,2,553
2012-02-02 09:15:00,region-1,2,684
2012-02-02 09:30:00,region-1,2,827
2012-02-02 09:45:00,region-1,2,964
2012-02-02 10:00:00,region-1,2,1132
2012-02-02 10:15:00,region-1,2,1277
2012-02-02 10:30:00,region-1,2,1415
2012-02-02 10:45:00,region-1,2,1574
2012-02-02 11:00:00,region-1,2,1705
2012-02-02 11:15:00,region-1,2,1829
2012-02-02 11:30:00,region-1,2,1957
2012-02-02 11:45:00,region-1,2,2075
2012-02-02 12:00:00,region-1,2,2202
2012-02-02 12:15:00,region-1,2,2314
2012-02-02 12:30:00,region-1,2,2434
2012-02-02 12:45:00,region-1,2,2566
2012-02-02 13:00:00,region-1,2,2688
2012-02-02 13:15:00,region-1,2,2813
2012-02-02 13:30:00,region-1,2,2929
2012-02-02 13:45:00,region-1,2,3051
2012-02-02 14:00:00,region-1,2,3160
2012-02-02 14:15:00,region-1,2,3278
2012-02-02 14:30:00,region-1,2,3402
2012-02-02 14:45:00,region-1,2,3525
2012-02-02 15:00:00,region-1,2,3812
2012-02-02 15:15:00,region-1,2,3933
2012-02-02 15:30:00,region-1,2,4065
2012-02-02 15:45:00,region-1,2,4210
2012-02-02 16:00:00,region-1,2,4627
2012-02-02 16:15:00,region-1,2,4745
2012-02-02 16:30:00,region-1,2,4876
2012-02-02 16:45:00,region-1,2,4985
2012-02-02 17:00:00,region-1,2,5100
2012-02-02 17:15:00,region-1,2,5245
2012-02-02 17:30:00,region-1,2,5353
2012-02-02 17:45:00,region-1,2,5480
2012-02-02 18:00:00,region-1,2,5614
2012-02-02 18:15:00,region-1,2,5726
2012-02-02 18:30:00,region-1,2,5839
2012-02-02 18:45:00,region-1,2,5988
2012-02-02 19:00:00,region-1,2,6121
2012-02-02 19:15:00,region-1,2,6226
2012-02-02 19:30:00,region-1,2,6335
2012-02-02 19:45:00,region-1,2,6451
2012-02-02 20:00:00,region-1,2,6562
2012-02-02 20:15:00,region-1,2,6684
2012-02-02 20:30:00,region-1,2,6805
2012-02-02 20:45:00,region-1,2,6918
2012-02-02 21:00:00,region-1,2,7002
2012-02-02 21:15:00,region-1,2,7108
2012-02-02 21:30:00,region-1,2,7222
2012-02-02 21:45:00,region-1,2,7330
2012-02-02 22:00:00,region-1,2,7446
2012-02-02 22:15:00,region-1,2,7561
2012-02-02 22:30:00,region-1,2,7663
2012-02-02 22:45:00,region-1,2,7749
2012-02-02 23:00:00,region-1,2,7853
2012-02-02 23:15:00,region-1,2,7955
2012-02-02 23:30:00,region-1,2,8066
2012-02-02 23:45:00,region-1,2,8154
2012-02-03 00:00:00,region-1,2,8254
2012-02-03 00:15:00,region-1,2,8345
2012-02-03 00:30:00,region-1,2,8420
2012-02-03 00:45:00,region-1,2,8525
2012-02-03 01:00:00,region-1,2,8621
2012-02-03 01:15:00,region-1,2,8696
2012-02-03 01:30:00,region-1,2,8763
2012-02-03 01:45:00,region-1,2,8860
2012-02-03 02:00:00,region-1,2,8573
2012-02-03 02:15:00,region-1,2,8676
2012-02-03 02:30:00,region-1,2,8750
2012-02-03 02:45:00,region-1,2,8837
2012-02-03 03:00:00,region-1,2,8262
2012-02-03 03:15:00,region-1,2,8325
2012-02-03 03:30:00,region-1,2,8372
2012-02-03 03:45:00,region-1,2,8440
2012-02-03 04:00:00,region-1,2,8494
2012-02-03 04:15:00,region-1,2,8565
2012-02-03 04:30:00,region-1,2,8644
2012-02-03 04:45:00,region-1,2,8705
2012-02-03 05:00:00,region-1,2,8763
2012-02-03 05:15:00,region-1,2,8838
2012-02-03 05:30:00,region-1,2,8915
2012-02-03 05:45:00,region-1,2,8969
2012-02-03 06:00:00,region-1,2,9029
2012-02-03 06:15:00,region-1,2,9058
2012-02-03 06:30:00,region-1,2,9147
2012-02-03 06:45:00,region-1,2,9215
2012-02-03 07:00:00,region-1,2,9282
2012-02-03 07:15:00,region-1,2,9347
2012-02-03 07:30:00,region-1,2,9426
2012-02-03 07:45:00,region-1,2,9492
2012-02-03 08:00:00,region-1,2,9552
2012-02-03 08:15:00,region-1,2,9604
2012-02-03 08:30:00,region-1,2,9673
2012-02-03 08:45:00,region-1,2,9745
2012-02-03 09:00:00,region-1,2,9809
2012-02-03 09:15:00,region-1,2,9870
2012-02-03 09:30:00,region-1,2,9939
2012-02-03 09:45:00,region-1,2,10004
2012-02-03 10:00:00,region-1,2,10049
2012-02-03 10:15:00,region-1,2,10117
2012-02-03 10:30:00,region-1,2,10174
2012-02-03 10:45:00,region-1,2,10241
2012-02-03 11:00:00,region-1,2,10303
2012-02-03 11:15:00,region-1,2,10355
2012-02-03 11:30:00,region-1,2,10412
2012-02-03 11:45:00,region-1,2,10464
2012-02-03 12:00:00,region-1,2,10504
2012-02-03 12:15:00,region-1,2,10555
2012-02-03 12:30:00,region-1,2,10601
2012-02-03 12:45:00,region-1,2,10641
2012-02-03 13:00:00,region-1,2,10701
2012-02-03 13:15:00,region-1,2,10754
2012-02-03 13:30:00,region-1,2,10809
2012-02-03 13:45:00,region-1,2,10877
2012-02-03 14:00:00,region-1,2,10926
2012-02-03 14:15:00,region-1,2,10959
2012-02-03 14:30:00,region-1,2,11019
2012-02-03 14:45:00,region-1,2,11075
2012-02-03 15:00:00,region-1,2,11636
2012-02-03 15:15:00,region-1,2,11677
2012-02-03 15:30:00,region-1,2,11731
2012-02-03 15:45:00,region-1,2,11779
2012-02-03 16:00:00,region-1,2,12681
2012-02-03 16:15:00,region-1,2,12729
2012-02-03 16:30:00,region-1,2,12779
2012-02-03 16:45:00,region-1,2,12833
2012-02-03 17:00:00,region-1,2,12878
2012-02-03 17:15:00,region-1,2,12926
2012-02-03 17:30:00,region-1,2,12976
2012-02-03 17:45:00,region-1,2,13018
2012-02-03 18:00:00,region-1,2,13065
2012-02-03 18:15:00,region-1,2,13093
2012-02-03 18:30:00,region-1,2,13137
2012-02-03 18:45:00,region-1,2,13178
2012-02-03 19:00:00,region-1,2,13203
2012-02-03 19:15:00,region-1,2,13256
2012-02-03 19:30:00,region-1,2,13321
2012-02-03 19:45:00,region-1,2,13360
2012-02-03 20:00:00,region-1,2,13386
2012-02-03 20:15:00,region-1,2,13415
2012-02-03 20:30:00,region-1,2,13464
2012-02-03 20:45:00,region-1,2,13506
2012-02-03 21:00:00,region-1,2,13549
2012-02-03 21:15:00,region-1,2,13577
2012-02-03 21:30:00,region-1,2,13615
2012-02-03 21:45:00,region-1,2,13670
2012-02-03 22:00:00,region-1,2,13709
2012-02-03 22:15:00,region-1,2,13746
2012-02-03 22:30:00,region-1,2,13774
2012-02-03 22:45:00,region-1,2,13780
2012-02-03 23:00:00,region-1,2,13829
2012-02-03 23:15:00,region-1,2,13860
2012-02-03 23:30:00,region-1,2,13898
2012-02-03 23:45:00,region-1,2,13940
2012-02-04 00:00:00,region-1,2,13974
2012-02-04 00:15:00,region-1,2,14004
2012-02-04 00:30:00,region-1,2,14016
2012-02-04 00:45:00,region-1,2,14021
2012-02-04 01:00:00,region-1,2,14049
2012-02-04 01:15:00,region-1,2,14071
2012-02-04 01:30:00,region-1,2,14109
2012-02-04 01:45:00,region-1,2,14124
2012-02-04 02:00:00,region-1,2,13535
2012-02-04 02:15:00,region-1,2,13562
2012-02-04 02:30:00,region-1,2,13582
2012-02-04 02:45:00,region-1,2,13602
2012-02-04 03:00:00,region-1,2,12679
2012-02-04 03:15:00,region-1,2,12719
2012-02-04 03:30:00,region-1,2,12740
2012-02-04 03:45:00,region-1,2,12785
2012-02-04 04:00:00,region-1,2,12817
2012-02-04 04:15:00,region-1,2,12842
2012-02-04 04:30:00,region-1,2,12864
2012-02-04 04:45:00,region-1,2,12894
2012-02-04 05:00:00,region-1,2,12920
2012-02-04 05:15:00,region-1,2,12944
2012-02-04 05:30:00,region-1,2,12971
2012-02-04 05:45:00,region-1,2,12977
2012-02-04 06:00:00,region-1,2,13017
2012-02-04 06:15:00,region-1,2,13031
2012-02-04 06:30:00,region-1,2,13046
2012-02-04 06:45:00,region-1,2,13073
2012-02-04 07:00:00,region-1,2,13078
2012-02-04 07:15:00,region-1,2,13094
2012-02-04 07:30:00,region-1,2,13100
2012-02-04 07:45:00,region-1,2,13115
2012-02-04 08:00:00,region-1,2,13150
2012-02-02 08:15:00,region-2,2,154
2012-02-02 08:30:00,region-2,2,280
2012-02-02 08:45:00,region-2,2,411
2012-02-02 09:00:00,region-2,2,564
2012-02-02 09:15:00,region-2,2,686
2012-02-02 09:30:00,region-2,2,811
2012-02-02 09:45:00,region-2,2,946
2012-02-02 10:00:00,region-2,2,1110
2012-02-02 10:15:00,region-2,2,1237
2012-02-02 10:30:00,region-2,2,1378
2012-02-02 10:45:00,region-2,2,1524
2012-02-02 11:00:00,region-2,2,1665
2012-02-02 11:15:00,region-2,2,1806
2012-02-02 11:30:00,region-2,2,1931
2012-02-02 11:45:00,region-2,2,2048
2012-02-02 12:00:00,region-2,2,2169
2012-02-02 12:15:00,region-2,2,2307
2012-02-02 12:30:00,region-2,2,2415
2012-02-02 12:45:00,region-2,2,2555
2012-02-02 13:00:00,region-2,2,2681
2012-02-02 13:15:00,region-2,2,2808
2012-02-02 13:30:00,region-2,2,2933
2012-02-02 13:45:00,region-2,2,3064
2012-02-02 14:00:00,region-2,2,3183
2012-02-02 14:15:00,region-2,2,3286
2012-02-02 14:30:00,region-2,2,3404
2012-02-02 14:45:00,region-2,2,3534
2012-02-02 15:00:00,region-2,2,3676
2012-02-02 15:15:00,region-2,2,3791
2012-02-02 15:30:00,region-2,2,3901
2012-02-02 15:45:00,region-2,2,4034
2012-02-02 16:00:00,region-2,2,4425
2012-02-02 16:15:00,region-2,2,4538
2012-02-02 16:30:00,region-2,2,4641
2012-02-02 16:45:00,region-2,2,4761
2012-02-02 17:00:00,region-2,2,5068
2012-02-02 17:15:00,region-2,2,5213
2012-02-02 17:30:00,region-2,2,5334
2012-02-02 17:45:00,region-2,2,5475
2012-02-02 18:00:00,region-2,2,5592
2012-02-02 18:15:00,region-2,2,5726
2012-02-02 18:30:00,region-2,2,5833
2012-02-02 18:45:00,region-2,2,5990
2012-02-02 19:00:00,region-2,2,6117
2012-02-02 19:15:00,region-2,2,6223
2012-02-02 19:30:00,region-2,2,6320
2012-02-02 19:45:00,region-2,2,6418
2012-02-02 20:00:00,region-2,2,6538
2012-02-02 20:15:00,region-2,2,6640
2012-02-02 20:30:00,region-2,2,6744
2012-02-02 20:45:00,region-2,2,6853
2012-02-02 21:00:00,region-2,2,6952
2012-02-02 21:15:00,region-2,2,7083
2012-02-02 21:30:00,region-2,2,7193
2012-02-02 21:45:00,region-2,2,7290
2012-02-02 22:00:00,region-2,2,7394
2012-02-02 22:15:00,region-2,2,7498
2012-02-02 22:30:00,region-2,2,7580
2012-02-02 22:45:00,region-2,2,7671
2012-02-02 23:00:00,region-2,2,7773
2012-02-02 23:15:00,region-2,2,7868
2012-02-02 23:30:00,region-2,2,7998
2012-02-02 23:45:00,region-2,2,8063
2012-02-03 00:00:00,region-2,2,8165
2012-02-03 00:15:00,region-2,2,8265
2012-02-03 00:30:00,region-2,2,8359
2012-02-03 00:45:00,region-2,2,8466
2012-02-03 01:00:00,region-2,2,8578
2012-02-03 01:15:00,region-2,2,8667
2012-02-03 01:30:00,region-2,2,8750
2012-02-03 01:45:00,region-2,2,8826
2012-02-03 02:00:00,region-2,2,8894
2012-02-03 02:15:00,region-2,2,8984
2012-02-03 02:30:00,region-2,2,9069
2012-02-03 02:45:00,region-2,2,9154
2012-02-03 03:00:00,region-2,2,8597
2012-02-03 03:15:00,region-2,2,8675
2012-02-03 03:30:00,region-2,2,8743
2012-02-03 03:45:00,region-2,2,8808
2012-02-03 04:00:00,region-2,2,8511
2012-02-03 04:15:00,region-2,2,8595
2012-02-03 04:30:00,region-2,2,8648
2012-02-03 04:45:00,region-2,2,8708
2012-02-03 05:00:00,region-2,2,8762
2012-02-03 05:15:00,region-2,2,8841
2012-02-03 05:30:00,region-2,2,8911
2012-02-03 05:45:00,region-2,2,8966
2012-02-03 06:00:00,region-2,2,9028
2012-02-03 06:15:00,region-2,2,9073
2012-02-03 06:30:00,region-2,2,9156
2012-02-03 06:45:00,region-2,2,9225
2012-02-03 07:00:00,region-2,2,9300
2012-02-03 07:15:00,region-2,2,9362
2012-02-03 07:30:00,region-2,2,9418
2012-02-03 07:45:00,region-2,2,9464
2012-02-03 08:00:00,region-2,2,9538
2012-02-03 08:15:00,region-2,2,9591
2012-02-03 08:30:00,region-2,2,9668
2012-02-03 08:45:00,region-2,2,9730
2012-02-03 09:00:00,region-2,2,9787
2012-02-03 09:15:00,region-2,2,9871
2012-02-03 09:30:00,region-2,2,9930
2012-02-03 09:45:00,region-2,2,9991
2012-02-03 10:00:00,region-2,2,10035
2012-02-03 10:15:00,region-2,2,10105
2012-02-03 10:30:00,region-2,2,10172
2012-02-03 10:45:00,region-2,2,10234
2012-02-03 11:00:00,region-2,2,10290
2012-02-03 11:15:00,region-2,2,10325
2012-02-03 11:30:00,region-2,2,10381
2012-02-03 11:45:00,region-2,2,10450
2012-02-03 12:00:00,region-2,2,10500
2012-02-03 12:15:00,region-2,2,10553
2012-02-03 12:30:00,region-2,2,10599
2012-02-03 12:45:00,region-2,2,10648
2012-02-03 13:00:00,region-2,2,10695
2012-02-03 13:15:00,region-2,2,10755
2012-02-03 13:30:00,region-2,2,10803
2012-02-03 13:45:00,region-2,2,10846
2012-02-03 14:00:00,region-2,2,10904
2012-02-03 14:15:00,region-2,2,10930
2012-02-03 14:30:00,region-2,2,10984
2012-02-03 14:45:00,region-2,2,11039
2012-02-03 15:00:00,region-2,2,11083
2012-02-03 15:15:00,region-2,2,11114
2012-02-03 15:30:00,region-2,2,11170
2012-02-03 15:45:00,region-2,2,11221
2012-02-03 16:00:00,region-2,2,12160
2012-02-03 16:15:00,region-2,2,12211
2012-02-03 16:30:00,region-2,2,12280
2012-02-03 16:45:00,region-2,2,12333
2012-02-03 17:00:00,region-2,2,12872
2012-02-03 17:15:00,region-2,2,12907
2012-02-03 17:30:00,region-2,2,12954
2012-02-03 17:45:00,region-2,2,12984
2012-02-03 18:00:00,region-2,2,13028
2012-02-03 18:15:00,region-2,2,13072
2012-02-03 18:30:00,region-2,2,13103
2012-02-03 18:45:00,region-2,2,13137
2012-02-03 19:00:00,region-2,2,13170
2012-02-03 19:15:00,region-2,2,13228
2012-02-03 19:30:00,region-2,2,13281
2012-02-03 19:45:00,region-2,2,13312
2012-02-03 20:00:00,region-2,2,13340
2012-02-03 20:15:00,region-2,2,13387
2012-02-03 20:30:00,region-2,2,13419
2012-02-03 20:45:00,region-2,2,13477
2012-02-03 21:00:00,region-2,2,13524
2012-02-03 21:15:00,region-2,2,13567
2012-02-03 21:30:00,region-2,2,13594
2012-02-03 21:45:00,region-2,2,13647
2012-02-03 22:00:00,region-2,2,13705
2012-02-03 22:15:00,region-2,2,13738
2012-02-03 22:30:00,region-2,2,13767
2012-02-03 22:45:00,region-2,2,13776
2012-02-03 23:00:00,region-2,2,13836
2012-02-03 23:15:00,region-2,2,13860
2012-02-03 23:30:00,region-2,2,13895
2012-02-03 23:45:00,region-2,2,13924
2012-02-04 00:00:00,region-2,2,13958
2012-02-04 00:15:00,region-2,2,13993
2012-02-04 00:30:00,region-2,2,14003
2012-02-04 00:45:00,region-2,2,14002
2012-02-04 01:00:00,region-2,2,14044
2012-02-04 01:15:00,region-2,2,14072
2012-02-04 01:30:00,region-2,2,14086
2012-02-04 01:45:00,region-2,2,14130
2012-02-04 02:00:00,region-2,2,14133
2012-02-04 02:15:00,region-2,2,14146
2012-02-04 02:30:00,region-2,2,14160
2012-02-04 02:45:00,region-2,2,14181
2012-02-04 03:00:00,region-2,2,13255
2012-02-04 03:15:00,region-2,2,13297
2012-02-04 03:30:00,region-2,2,13319
2012-02-04 03:45:00,region-2,2,13370
2012-02-04 04:00:00,region-2,2,12836
2012-02-04 04:15:00,region-2,2,12864
2012-02-04 04:30:00,region-2,2,12878
2012-02-04 04:45:00,region-2,2,12912
2012-02-04 05:00:00,region-2,2,12942
2012-02-04 05:15:00,region-2,2,12950
2012-02-04 05:30:00,region-2,2,12980
2012-02-04 05:45:00,region-2,2,12969
2012-02-04 06:00:00,region-2,2,12997
2012-02-04 06:15:00,region-2,2,13003
2012-02-04 06:30:00,region-2,2,13042
2012-02-04 06:45:00,region-2,2,13097
2012-02-04 07:00:00,region-2,2,13098
2012-02-04 07:15:00,region-2,2,13108
2012-02-04 07:30:00,region-2,2,13109
2012-02-04 07:45:00,region-2,2,13145
2012-02-04 08:00:00,region-2,2,13155
2012-02-02 08:15:00,region-3,2,142
2012-02-02 08:30:00,region-3,2,259
2012-02-02 08:45:00,region-3,2,399
2012-02-02 09:00:00,region-3,2,540
2012-02-02 09:15:00,region-3,2,671
2012-02-02 09:30:00,region-3,2,807
2012-02-02 09:45:00,region-3,2,950
2012-02-02 10:00:00,region-3,2,1072
2012-02-02 10:15:00,region-3,2,1203
2012-02-02 10:30:00,region-3,2,1352
2012-02-02 10:45:00,region-3,2,1479
2012-02-02 11:00:00,region-3,2,1621
2012-02-02 11:15:00,region-3,2,1762
2012-02-02 11:30:00,region-3,2,1874
2012-02-02 11:45:00,region-3,2,1992
2012-02-02 12:00:00,region-3,2,2140
2012-02-02 12:15:00,region-3,2,2257
2012-02-02 12:30:00,region-3,2,2382
2012-02-02 12:45:00,region-3,2,2488
2012-02-02 13:00:00,region-3,2,2663
2012-02-02 13:15:00,region-3,2,2783
2012-02-02 13:30:00,region-3,2,2896
2012-02-02 13:45:00,region-3,2,3019
2012-02-02 14:00:00,region-3,2,3425
2012-02-02 14:15:00,region-3,2,3578
2012-02-02 14:30:00,region-3,2,3697
2012-02-02 14:45:00,region-3,2,3793
2012-02-02 15:00:00,region-3,2,3933
2012-02-02 15:15:00,region-3,2,4055
2012-02-02 15:30:00,region-3,2,4216
2012-02-02 15:45:00,region-3,2,4331
2012-02-02 16:00:00,region-3,2,4471
2012-02-02 16:15:00,region-3,2,4593
2012-02-02 16:30:00,region-3,2,4707
2012-02-02 16:45:00,region-3,2,4844
2012-02-02 17:00:00,region-3,2,4944
2012-02-02 17:15:00,region-3,2,5101
2012-02-02 17:30:00,region-3,2,5191
2012-02-02 17:45:00,region-3,2,5289
2012-02-02 18:00:00,region-3,2,5381
2012-02-02 18:15:00,region-3,2,5504
2012-02-02 18:30:00,region-3,2,5605
2012-02-02 18:45:00,region-3,2,5708
2012-02-02 19:00:00,region-3,2,5842
2012-02-02 19:15:00,region-3,2,5955
2012-02-02 19:30:00,region-3,2,6080
2012-02-02 19:45:00,region-3,2,6173
2012-02-02 20:00:00,region-3,2,6275
2012-02-02 20:15:00,region-3,2,6372
2012-02-02 20:30:00,region-3,2,6473
