time,regionold,pol1,pol2,pol3,pol4,pol5,act1,act2,act3,act4,act5,expected,reported,order,size,erspreadmax,erspreadmin,sizepol,sumnumconnections,avnumconn,lat,lon,region
2012-02-02 12:00:00,headquarters-1,197576,12691,364,9,0,208131,202,1400,396,511,15050,15012,41,250000,0,38,210640,6715347,31.8806826814,-8.61044955,-75,HEAD
2012-02-02 12:15:00,headquarters-1,196790,13402,417,10,0,208146,189,1399,387,498,15050,15005,41,250000,0,45,210619,6712746,31.8715120668,-8.61044955,-75,HEAD
2012-02-02 12:30:00,headquarters-1,195998,14146,463,11,0,208242,212,1314,336,514,15050,15008,41,250000,0,42,210618,6723411,31.9223000883,-8.61044955,-75,HEAD
2012-02-02 12:45:00,headquarters-1,197178,14966,523,12,1,210224,175,1398,362,521,15050,14987,41,250000,0,63,212680,6759758,31.7837032161,-8.61044955,-75,HEAD
2012-02-02 13:00:00,headquarters-1,196441,15666,572,12,1,208486,179,2520,691,816,15050,14989,41,250000,0,61,212692,8165703,38.3921492111,-8.61044955,-75,HEAD
2012-02-02 13:15:00,headquarters-1,195669,16394,635,15,1,208560,145,2541,641,827,15050,14994,41,250000,0,56,212714,8168804,38.4027567532,-8.61044955,-75,HEAD
2012-02-02 13:30:00,headquarters-1,194930,17092,690,20,1,208522,178,2571,649,813,15050,15006,41,250000,0,44,212733,8181097,38.4571129068,-8.61044955,-75,HEAD
2012-02-02 13:45:00,headquarters-1,194153,17834,741,23,1,208409,191,2614,677,861,15050,15012,41,250000,0,38,212752,8166209,38.3837002707,-8.61044955,-75,HEAD
2012-02-02 14:00:00,headquarters-1,193353,18552,797,25,1,208588,162,2506,621,851,15050,15003,41,250000,0,47,212728,8163432,38.3749764958,-8.61044955,-75,HEAD
2012-02-02 14:15:00,headquarters-1,192610,19243,856,26,1,208493,193,2587,663,800,15050,15010,41,250000,0,40,212736,8154442,38.3312744434,-8.61044955,-75,HEAD
2012-02-02 14:30:00,headquarters-1,191813,19951,925,27,1,208511,155,2627,627,797,15050,15006,41,250000,0,44,212717,8176057,38.4363120954,-8.61044955,-75,HEAD
2012-02-02 14:45:00,headquarters-1,198534,21518,1048,31,1,216635,198,2678,726,895,15050,15015,41,250000,0,35,221132,8613781,38.9531184994,-8.61044955,-75,HEAD
2012-02-02 15:00:00,headquarters-1,197717,22244,1125,35,1,214857,185,3916,1002,1162,15050,15018,41,250000,0,32,221122,9894592,44.747207424,-8.61044955,-75,HEAD
2012-02-02 15:15:00,headquarters-1,196867,22987,1212,40,1,215086,182,3749,968,1122,15050,15019,41,250000,0,31,221107,9911374,44.8261429986,-8.61044955,-75,HEAD
2012-02-02 15:30:00,headquarters-1,196046,23719,1275,44,1,215076,187,3810,950,1062,15050,15017,41,250000,0,33,221085,9934907,44.9370468372,-8.61044955,-75,HEAD
2012-02-02 15:45:00,headquarters-1,195270,24420,1362,47,1,214981,146,3846,1008,1119,15050,15014,41,250000,0,36,221100,9908725,44.815581185,-8.61044955,-75,HEAD
2012-02-02 16:00:00,headquarters-1,194510,25085,1477,49,2,213430,163,4817,1339,1374,15050,15017,41,250000,0,33,221123,11246010,50.8586171497,-8.61044955,-75,HEAD
2012-02-02 16:15:00,headquarters-1,193772,25755,1567,53,2,213442,163,4853,1249,1442,15050,15022,41,250000,0,28,221149,11222915,50.7482059607,-8.61044955,-75,HEAD
2012-02-02 16:30:00,headquarters-1,193068,26374,1663,58,2,213348,170,4940,1240,1467,15050,15026,41,250000,0,24,221165,11230384,50.7783057898,-8.61044955,-75,HEAD
2012-02-02 16:45:00,headquarters-1,192343,27005,1757,63,2,213379,174,4871,1311,1435,15050,15023,41,250000,0,27,221170,11234955,50.7978252023,-8.61044955,-75,HEAD
2012-02-02 17:00:00,headquarters-1,191559,27658,1857,72,2,213346,207,4906,1275,1414,15050,15021,41,250000,0,29,221148,11258783,50.9106254635,-8.61044955,-75,HEAD
2012-02-02 17:15:00,headquarters-1,190724,28341,1958,83,2,213352,180,4854,1266,1456,15050,15017,41,250000,0,33,221108,11225799,50.7706595872,-8.61044955,-75,HEAD
2012-02-02 17:30:00,headquarters-1,189937,29023,2051,95,3,213377,168,4925,1244,1395,15050,15016,41,250000,0,34,221109,11245023,50.8573735126,-8.61044955,-75,HEAD
2012-02-02 17:45:00,headquarters-1,189187,29684,2155,104,3,213493,201,4746,1251,1442,15050,15017,41,250000,0,33,221133,11230083,50.7842927107,-8.61044955,-75,HEAD
2012-02-02 18:00:00,headquarters-1,188399,30319,2269,109,3,213304,188,4948,1229,1430,15050,15020,41,250000,0,30,221099,11218365,50.7391032976,-8.61044955,-75,HEAD
2012-02-02 18:15:00,headquarters-1,214605,35313,2719,137,4,243855,203,5648,1477,1595,15050,15015,41,250000,0,35,252778,12894587,51.0115081218,-8.61044955,-75,HEAD
2012-02-02 18:30:00,headquarters-1,213764,36020,2857,150,4,243958,195,5649,1447,1546,15050,15018,41,250000,0,32,252795,12908639,51.0636642339,-8.61044955,-75,HEAD
2012-02-02 18:45:00,headquarters-1,212958,36689,2986,164,4,243955,206,5639,1441,1560,15050,15015,41,250000,0,35,252801,12899326,51.0256130316,-8.61044955,-75,HEAD
2012-02-02 19:00:00,headquarters-1,212100,37391,3133,170,6,243998,243,5530,1438,1591,15050,15007,41,250000,0,43,252800,12880435,50.9510878165,-8.61044955,-75,HEAD
2012-02-02 19:15:00,headquarters-1,218774,39470,3396,188,8,252570,227,5822,1508,1709,15050,15010,41,250000,0,40,261836,13359156,51.0210818986,-8.61044955,-75,HEAD
2012-02-02 19:30:00,headquarters-1,217867,40212,3544,203,9,252731,215,5778,1486,1625,15050,15013,41,250000,0,37,261835,13379483,51.0989096187,-8.61044955,-75,HEAD
2012-02-02 19:45:00,headquarters-1,217045,40882,3689,212,10,252574,195,5880,1518,1671,15050,15015,41,250000,0,35,261838,13366872,51.0501607864,-8.61044955,-75,HEAD
2012-02-02 20:00:00,headquarters-1,216201,41601,3843,221,11,252685,232,5908,1434,1618,15050,15015,41,250000,0,35,261877,13368861,51.0501533163,-8.61044955,-75,HEAD
2012-02-02 20:15:00,headquarters-1,215298,42325,4001,231,12,252744,222,5771,1454,1676,15050,15017,41,250000,0,33,261867,13386279,51.1186174661,-8.61044955,-75,HEAD
2012-02-02 20:30:00,headquarters-1,214398,43065,4144,244,13,252758,223,5775,1501,1607,15050,15016,41,250000,0,34,261864,13376967,51.0836426542,-8.61044955,-75,HEAD
2012-02-02 20:45:00,headquarters-1,213556,43721,4297,267,13,252602,220,5849,1510,1673,15050,15021,41,250000,0,29,261854,13366320,51.0449334362,-8.61044955,-75,HEAD
2012-02-02 21:00:00,headquarters-1,212725,44368,4459,287,14,252680,221,5761,1513,1678,15050,15021,41,250000,0,29,261853,13358869,51.0166734771,-8.61044955,-75,HEAD
2012-02-02 21:15:00,headquarters-1,211913,45034,4607,311,18,252598,223,5876,1505,1681,15050,15022,41,250000,0,28,261883,13373292,51.065903476,-8.61044955,-75,HEAD
2012-02-02 21:30:00,headquarters-1,211105,45645,4776,323,22,252792,199,5701,1542,1637,15050,15021,41,250000,0,29,261871,13367007,51.0442431579,-8.61044955,-75,HEAD
2012-02-02 21:45:00,headquarters-1,210259,46315,4933,345,22,252790,217,5722,1525,1620,15050,15014,41,250000,0,36,261874,13404432,51.1865706408,-8.61044955,-75,HEAD
2012-02-02 22:00:00,headquarters-1,204609,45812,5009,353,21,248987,204,4373,1149,1091,15050,8949,41,250000,0,6101,255804,11687132,45.6878391268,-8.61044955,-75,HEAD
2012-02-02 22:15:00,headquarters-1,203766,46467,5161,375,21,248953,183,4444,1101,1109,15050,8936,41,250000,0,6114,255790,11685858,45.6853590836,-8.61044955,-75,HEAD
2012-02-02 22:30:00,headquarters-1,202973,47090,5339,395,22,249082,211,4361,1087,1078,15050,8941,41,250000,0,6109,255819,11676834,45.6449051869,-8.61044955,-75,HEAD
2012-02-02 22:45:00,headquarters-1,202179,47694,5509,413,25,248992,204,4404,1121,1099,15050,8953,41,250000,0,6097,255820,11679170,45.6538581815,-8.61044955,-75,HEAD
2012-02-02 23:00:00,headquarters-1,201310,48364,5670,435,26,248917,215,4437,1125,1111,0,8949,41,250000,8949,0,255805,11691324,45.7040480053,-8.61044955,-75,HEAD
2012-02-02 23:15:00,headquarters-1,200429,49036,5822,458,26,248780,220,4542,1143,1086,0,8939,41,250000,8939,0,255771,11687881,45.6966622487,-8.61044955,-75,HEAD
2012-02-02 23:30:00,headquarters-1,199579,49685,5989,472,27,248990,243,4281,1090,1148,0,8950,41,250000,8950,0,255752,11702583,45.757542463,-8.61044955,-75,HEAD
2012-02-02 23:45:00,headquarters-1,198797,50240,6167,496,30,248904,201,4416,1113,1096,0,8945,41,250000,8945,0,255730,11684977,45.692632855,-8.61044955,-75,HEAD
2012-02-03 00:00:00,headquarters-1,198051,50782,6372,516,32,252269,232,2152,549,551,0,8942,41,250000,8942,0,255753,8952456,35.0043049348,-8.61044955,-75,HEAD
2012-02-03 00:15:00,headquarters-1,197227,51390,6565,538,34,252177,201,2193,576,607,0,8943,41,250000,8943,0,255754,8982253,35.1206745545,-8.61044955,-75,HEAD
2012-02-03 00:30:00,headquarters-1,196432,52000,6746,560,38,252306,214,2121,573,562,0,8936,41,250000,8936,0,255776,8981797,35.1158709183,-8.61044955,-75,HEAD
2012-02-03 00:45:00,headquarters-1,195689,52509,6943,588,38,252293,216,2128,551,579,0,8936,41,250000,8936,0,255767,8978354,35.1036451145,-8.61044955,-75,HEAD
2012-02-03 01:00:00,headquarters-1,194846,53142,7132,612,38,252323,215,2162,510,560,0,8938,41,250000,8938,0,255770,8966234,35.0558470501,-8.61044955,-75,HEAD
2012-02-03 01:15:00,headquarters-1,194094,53685,7318,633,43,252305,208,2166,562,532,0,8936,41,250000,8936,0,255773,8985688,35.1314955058,-8.61044955,-75,HEAD
2012-02-03 01:30:00,headquarters-1,193285,54274,7499,661,47,252150,198,2243,587,588,0,8942,41,250000,8942,0,255766,8963689,35.0464447972,-8.61044955,-75,HEAD
2012-02-03 01:45:00,headquarters-1,192538,54829,7705,684,52,252311,205,2197,550,545,0,8949,41,250000,8949,0,255808,8998099,35.175205623,-8.61044955,-75,HEAD
2012-02-03 02:00:00,headquarters-1,191764,55366,7892,711,58,253944,211,1113,253,270,0,8938,41,250000,8938,0,255791,7677779,30.0158293294,-8.61044955,-75,HEAD
2012-02-03 02:15:00,headquarters-1,190977,55953,8069,748,59,253990,230,1056,288,242,0,8942,41,250000,8942,0,255806,7656031,29.9290517032,-8.61044955,-75,HEAD
2012-02-03 02:30:00,headquarters-1,190163,56507,8270,768,68,253901,205,1098,301,271,0,8951,41,250000,8951,0,255776,7664526,29.9657747404,-8.61044955,-75,HEAD
2012-02-03 02:45:00,headquarters-1,189400,57024,8486,803,72,253943,230,1094,255,263,0,8955,41,250000,8955,0,255785,7641183,29.8734601325,-8.61044955,-75,HEAD
2012-02-03 03:00:00,headquarters-1,188712,57488,8662,846,72,255566,214,0,0,0,0,8948,41,250000,8948,0,255780,6331052,24.7519430761,-8.61044955,-75,HEAD
2012-02-03 03:15:00,headquarters-1,188004,57956,8870,868,77,255574,201,0,0,0,0,8949,41,250000,8949,0,255775,6340187,24.7881419216,-8.61044955,-75,HEAD
2012-02-03 03:30:00,headquarters-1,187225,58560,9024,904,81,255609,185,0,0,0,0,8945,41,250000,8945,0,255794,6352645,24.8350039485,-8.61044955,-75,HEAD
2012-02-03 03:45:00,headquarters-1,186520,59063,9218,918,85,255573,231,0,0,0,0,8942,41,250000,8942,0,255804,6349567,24.8220004378,-8.61044955,-75,HEAD
2012-02-03 04:00:00,headquarters-1,185729,59602,9400,950,90,255559,212,0,0,0,0,8934,41,250000,8934,0,255771,6340124,24.788283269,-8.61044955,-75,HEAD
2012-02-03 04:15:00,headquarters-1,185022,60056,9627,980,93,255541,237,0,0,0,0,8939,41,250000,8939,0,255778,6356817,24.8528685032,-8.61044955,-75,HEAD
2012-02-03 04:30:00,headquarters-1,184287,60554,9780,1028,96,255522,223,0,0,0,0,8938,41,250000,8938,0,255745,6344225,24.8068388434,-8.61044955,-75,HEAD
2012-02-03 04:45:00,headquarters-1,183593,61014,9990,1055,99,255541,210,0,0,0,0,8936,41,250000,8936,0,255751,6327638,24.7414008156,-8.61044955,-75,HEAD
2012-02-03 05:00:00,headquarters-1,182854,61520,10208,1081,101,255563,201,0,0,0,0,8946,41,250000,8946,0,255764,6345374,24.8094884347,-8.61044955,-75,HEAD
2012-02-03 05:15:00,headquarters-1,182168,61975,10419,1114,106,255582,200,0,0,0,0,8951,41,250000,8951,0,255782,6343715,24.8012565388,-8.61044955,-75,HEAD
2012-02-03 05:30:00,headquarters-1,181481,62456,10601,1161,108,255585,222,0,0,0,0,8951,41,250000,8951,0,255807,6348555,24.817753228,-8.61044955,-75,HEAD
2012-02-03 05:45:00,headquarters-1,180741,62939,10802,1210,114,255625,181,0,0,0,0,8947,41,250000,8947,0,255806,6348681,24.8183428067,-8.61044955,-75,HEAD
2012-02-03 06:00:00,headquarters-1,180032,63399,11013,1259,116,255629,190,0,0,0,0,8950,41,250000,8950,0,255819,6345213,24.8035251486,-8.61044955,-75,HEAD
2012-02-03 06:15:00,headquarters-1,179279,63898,11218,1302,120,255620,197,0,0,0,0,8942,41,250000,8942,0,255817,6341075,24.7875434393,-8.61044955,-75,HEAD
2012-02-03 06:30:00,headquarters-1,178594,64319,11434,1333,127,255618,189,0,0,0,0,8936,41,250000,8936,0,255807,6349349,24.8208571306,-8.61044955,-75,HEAD
2012-02-03 06:45:00,headquarters-1,177880,64791,11646,1360,134,255611,200,0,0,0,0,8931,41,250000,8931,0,255811,6351005,24.8269425474,-8.61044955,-75,HEAD
2012-02-03 07:00:00,headquarters-1,177181,65246,11856,1402,139,255637,187,0,0,0,0,8933,41,250000,8933,0,255824,6335379,24.7645998812,-8.61044955,-75,HEAD
2012-02-03 07:15:00,headquarters-1,176476,65659,12100,1452,144,255649,182,0,0,0,0,8936,41,250000,8936,0,255831,6338986,24.7780214282,-8.61044955,-75,HEAD
2012-02-03 07:30:00,headquarters-1,175708,66167,12314,1487,147,255611,212,0,0,0,0,8941,41,250000,8941,0,255823,6348685,24.8167092091,-8.61044955,-75,HEAD
2012-02-03 07:45:00,headquarters-1,174971,66605,12532,1528,154,255595,195,0,0,0,0,8948,41,250000,8948,0,255790,6343608,24.8000625513,-8.61044955,-75,HEAD
2012-02-03 08:00:00,headquarters-1,174316,67060,12727,1568,158,255606,223,0,0,0,0,8947,41,250000,8947,0,255829,6352665,24.8316844455,-8.61044955,-75,HEAD
2012-02-03 08:15:00,headquarters-1,173616,67448,12960,1605,170,255587,212,0,0,0,0,8938,41,250000,8938,0,255799,6348391,24.8178882638,-8.61044955,-75,HEAD
2012-02-03 08:30:00,headquarters-1,172903,67857,13177,1664,174,255577,198,0,0,0,0,8937,41,250000,8937,0,255775,6340686,24.790092855,-8.61044955,-75,HEAD
2012-02-03 08:45:00,headquarters-1,172228,68257,13394,1708,180,255551,216,0,0,0,0,8937,41,250000,8937,0,255767,6349957,24.8271160861,-8.61044955,-75,HEAD
2012-02-03 09:00:00,headquarters-1,171495,68710,13623,1754,185,255578,189,0,0,0,0,8941,41,250000,8941,0,255767,6338180,24.781070271,-8.61044955,-75,HEAD
2012-02-03 09:15:00,headquarters-1,170856,69064,13870,1798,190,255570,208,0,0,0,0,8946,41,250000,8946,0,255778,6341130,24.7915379743,-8.61044955,-75,HEAD
2012-02-03 09:30:00,headquarters-1,170191,69425,14101,1848,199,255574,190,0,0,0,0,8942,41,250000,8942,0,255764,6336772,24.7758558671,-8.61044955,-75,HEAD
2012-02-03 09:45:00,headquarters-1,169559,69832,14328,1895,208,255640,182,0,0,0,0,8940,41,250000,8940,0,255822,6341079,24.7870746066,-8.61044955,-75,HEAD
2012-02-03 10:00:00,headquarters-1,168914,70228,14547,1934,215,255633,205,0,0,0,0,8939,41,250000,8939,0,255838,6338666,24.7760926837,-8.61044955,-75,HEAD
2012-02-03 10:15:00,headquarters-1,168275,70577,14774,1986,219,255620,211,0,0,0,0,8945,41,250000,8945,0,255831,6345179,24.8022288151,-8.61044955,-75,HEAD
2012-02-03 10:30:00,headquarters-1,167629,70941,14995,2021,229,255598,217,0,0,0,0,8943,41,250000,8943,0,255815,6348772,24.8178253816,-8.61044955,-75,HEAD
2012-02-03 10:45:00,headquarters-1,166978,71317,15182,2077,237,255570,221,0,0,0,0,8929,41,250000,8929,0,255791,6344632,24.8039688652,-8.61044955,-75,HEAD
2012-02-03 11:00:00,headquarters-1,170192,73432,15777,2179,251,259261,225,1408,381,556,15050,14998,41,250000,0,52,261831,8031489,30.6743242779,-8.61044955,-75,HEAD
2012-02-03 11:15:00,headquarters-1,169531,73770,16021,2236,259,259298,209,1403,359,548,15050,14984,41,250000,0,66,261817,8025979,30.6549192757,-8.61044955,-75,HEAD
2012-02-03 11:30:00,headquarters-1,168864,74167,16259,2280,272,259356,206,1434,360,486,15050,14993,41,250000,0,57,261842,8022407,30.6383506084,-8.61044955,-75,HEAD
2012-02-03 11:45:00,headquarters-1,168256,74473,16517,2349,281,259345,206,1416,361,548,15050,15001,41,250000,0,49,261876,8019639,30.6238028685,-8.61044955,-75,HEAD
2012-02-03 12:00:00,headquarters-1,167559,74878,16745,2397,299,259295,259,1406,384,534,15050,15014,41,250000,0,36,261878,8031045,30.6671236225,-8.61044955,-75,HEAD
2012-02-03 12:15:00,headquarters-1,166850,75257,16947,2455,305,259232,212,1437,376,557,15050,15007,41,250000,0,43,261814,8042800,30.7195184368,-8.61044955,-75,HEAD
2012-02-03 12:30:00,headquarters-1,166194,75619,17202,2517,316,259414,202,1386,364,482,15050,15014,41,250000,0,36,261848,8024549,30.6458288778,-8.61044955,-75,HEAD
2012-02-03 12:45:00,headquarters-1,165545,75980,17442,2565,326,259251,224,1456,380,547,15050,15003,41,250000,0,47,261858,8027764,30.6569362021,-8.61044955,-75,HEAD
2012-02-03 13:00:00,headquarters-1,164900,76314,17674,2626,333,255974,235,3600,927,1111,15050,15009,41,250000,0,41,261847,10732050,40.9859574484,-8.61044955,-75,HEAD
2012-02-03 13:15:00,headquarters-1,164227,76696,17877,2695,343,256052,204,3575,929,1078,15050,15013,41,250000,0,37,261838,10722901,40.9524247817,-8.61044955,-75,HEAD
2012-02-03 13:30:00,headquarters-1,163553,77092,18087,2767,356,255937,218,3684,947,1069,15050,15006,41,250000,0,44,261855,10732540,40.9865765405,-8.61044955,-75,HEAD
2012-02-03 13:45:00,headquarters-1,162904,77444,18320,2828,364,255990,224,3616,907,1123,15050,15017,41,250000,0,33,261860,10746251,41.0381539754,-8.61044955,-75,HEAD
2012-02-03 14:00:00,headquarters-1,162198,77825,18577,2883,373,255936,192,3597,981,1150,15050,15016,41,250000,0,34,261856,10741083,41.0190448185,-8.61044955,-75,HEAD
2012-02-03 14:15:00,headquarters-1,161560,78160,18830,2940,389,256011,219,3647,919,1083,15050,15019,41,250000,0,31,261879,10736501,40.9979456161,-8.61044955,-75,HEAD
2012-02-03 14:30:00,headquarters-1,160905,78509,19048,3002,400,256010,220,3604,946,1084,15050,15007,41,250000,0,43,261864,10734305,40.9919080133,-8.61044955,-75,HEAD
2012-02-03 14:45:00,headquarters-1,160266,78831,19286,3059,410,255970,225,3599,937,1121,15050,15008,41,250000,0,42,261852,10722649,40.9492728717,-8.61044955,-75,HEAD
2012-02-03 15:00:00,headquarters-1,159611,79163,19541,3107,429,254274,209,4767,1225,1376,15050,15009,41,250000,0,41,261851,12061420,46.0621498486,-8.61044955,-75,HEAD
2012-02-03 15:15:00,headquarters-1,158983,79487,19774,3175,438,254366,239,4754,1166,1332,15050,15008,41,250000,0,42,261857,12058429,46.0496721493,-8.61044955,-75,HEAD
2012-02-03 15:30:00,headquarters-1,158310,79851,20004,3235,452,254233,225,4798,1218,1378,15050,15004,41,250000,0,46,261852,12063802,46.0710706811,-8.61044955,-75,HEAD
2012-02-03 15:45:00,headquarters-1,157670,80203,20196,3309,466,254333,202,4699,1220,1390,15050,14993,41,250000,0,57,261844,12061405,46.0633239639,-8.61044955,-75,HEAD
2012-02-03 16:00:00,headquarters-1,157095,80524,20421,3360,485,252755,201,5881,1465,1583,15050,15011,41,250000,0,39,261885,13364463,51.0318002177,-8.61044955,-75,HEAD
2012-02-03 16:15:00,headquarters-1,156539,80798,20623,3457,488,252932,222,5725,1441,1585,15050,15019,41,250000,0,31,261905,13381722,51.0938011875,-8.61044955,-75,HEAD
2012-02-03 16:30:00,headquarters-1,155945,81034,20881,3531,495,252639,222,5868,1517,1640,15050,15022,41,250000,0,28,261886,13349137,50.9730837082,-8.61044955,-75,HEAD
2012-02-03 16:45:00,headquarters-1,155310,81348,21090,3610,512,252759,203,5783,1505,1620,15050,15023,41,250000,0,27,261870,13375889,51.0783556727,-8.61044955,-75,HEAD
2012-02-03 17:00:00,headquarters-1,154721,81593,21370,3671,521,252698,206,5843,1488,1641,15050,15024,41,250000,0,26,261876,13371865,51.0618193343,-8.61044955,-75,HEAD
2012-02-03 17:15:00,headquarters-1,154096,81874,21626,3740,533,252751,234,5765,1474,1645,15050,15016,41,250000,0,34,261869,13369341,51.0535458569,-8.61044955,-75,HEAD
2012-02-03 17:30:00,headquarters-1,153528,82102,21850,3809,552,252796,222,5755,1415,1653,15050,15016,41,250000,0,34,261841,13358821,51.0188282202,-8.61044955,-75,HEAD
2012-02-03 17:45:00,headquarters-1,152921,82379,22117,3881,566,252667,204,5901,1453,1639,15050,15012,41,250000,0,38,261864,13377394,51.0852732716,-8.61044955,-75,HEAD
2012-02-03 18:00:00,headquarters-1,152276,82667,22392,3957,578,252530,225,5963,1476,1676,15050,15018,41,250000,0,32,261870,13361939,51.0250849658,-8.61044955,-75,HEAD
2012-02-03 18:15:00,headquarters-1,151590,83015,22602,4035,594,252783,206,5784,1453,1610,15050,15019,41,250000,0,31,261836,13367478,51.0528651522,-8.61044955,-75,HEAD
2012-02-03 18:30:00,headquarters-1,151040,83275,22813,4116,611,252580,205,5792,1580,1698,15050,15013,41,250000,0,37,261855,13367849,51.0505776097,-8.61044955,-75,HEAD
2012-02-03 18:45:00,headquarters-1,150473,83573,23018,4195,621,252746,212,5841,1499,1582,15050,15005,41,250000,0,45,261880,13356729,51.0032419429,-8.61044955,-75,HEAD
2012-02-03 19:00:00,headquarters-1,149874,83818,23260,4273,641,252548,226,5955,1530,1607,15050,15009,41,250000,0,41,261866,13365422,51.0391650692,-8.61044955,-75,HEAD
2012-02-03 19:15:00,headquarters-1,149260,84063,23509,4365,652,252616,226,5877,1438,1692,15050,15009,41,250000,0,41,261849,13388760,51.1316063838,-8.61044955,-75,HEAD
2012-02-03 19:30:00,headquarters-1,148641,84306,23775,4448,668,252593,227,5893,1471,1654,15050,15009,41,250000,0,41,261838,13388300,51.1319976474,-8.61044955,-75,HEAD
2012-02-03 19:45:00,headquarters-1,148063,84548,23998,4538,684,252761,206,5894,1426,1544,15050,15016,41,250000,0,34,261831,13395580,51.1611688456,-8.61044955,-75,HEAD
2012-02-03 20:00:00,headquarters-1,147511,84830,24232,4605,700,252713,219,5798,1509,1639,15050,15020,41,250000,0,30,261878,13381582,51.0985344321,-8.61044955,-75,HEAD
2012-02-03 20:15:00,headquarters-1,146912,85046,24515,4685,715,252551,225,5975,1443,1679,15050,15022,41,250000,0,28,261873,13357641,51.0080878899,-8.61044955,-75,HEAD
2012-02-03 20:30:00,headquarters-1,146301,85270,24776,4764,737,252490,213,5939,1476,1730,15050,15014,41,250000,0,36,261848,13398470,51.1688842382,-8.61044955,-75,HEAD
2012-02-03 20:45:00,headquarters-1,145685,85553,24997,4860,758,252787,205,5715,1488,1658,15050,15017,41,250000,0,33,261853,13389915,51.1352361821,-8.61044955,-75,HEAD
2012-02-03 21:00:00,headquarters-1,145126,85825,25213,4933,774,252705,209,5849,1501,1607,15050,15016,41,250000,0,34,261871,13361892,51.02471064,-8.61044955,-75,HEAD
2012-02-03 21:15:00,headquarters-1,144535,86091,25466,4995,795,252763,198,5828,1450,1643,15050,15015,41,250000,0,35,261882,13388707,51.1249608602,-8.61044955,-75,HEAD
2012-02-03 21:30:00,headquarters-1,143942,86357,25712,5080,809,252719,212,5802,1540,1627,15050,15010,41,250000,0,40,261900,13373760,51.0643757159,-8.61044955,-75,HEAD
2012-02-03 21:45:00,headquarters-1,143357,86616,25968,5141,825,252880,230,5727,1487,1583,15050,15019,41,250000,0,31,261907,13367378,51.038643488,-8.61044955,-75,HEAD
2012-02-03 22:00:00,headquarters-1,139536,84805,25560,5078,829,249059,188,4423,1074,1064,15050,8950,41,250000,0,6100,255808,11686348,45.6840599199,-8.61044955,-75,HEAD
2012-02-03 22:15:00,headquarters-1,138967,85055,25812,5151,841,249063,196,4377,1075,1115,15050,8957,41,250000,0,6093,255826,11699914,45.7338738049,-8.61044955,-75,HEAD
